"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.026294";"0.086379";"0.146033";"0.257206";"0.366045";"0.510166";"0.732751";"0.968907";"1.325203";"1.942135";"2.502305";"3.458023";"4.348769";"5.507920";"7.258587";"9.060037";"11.292665";"14.803536";"18.403042";"23.580624";"28.532665";"33.974110";"42.829723";"51.472401";"65.365479";"79.619255";"94.603691";"117.394356";"138.415771";"164.735443";"205.828201";"244.432526";"256.254791";"256.191986";"256.205719";"256.197876";"256.277313";"256.316467";"256.409668";"256.182068";"256.248718";"256.218323";"256.279083";"255.916229";"255.929977";"255.929977";"255.960342";"256.034851";"256.151398";"256.200470"
"Y";"0.000000";"0.025943";"0.087445";"0.149637";"0.265044";"0.380794";"0.528130";"0.761445";"0.990364";"1.355110";"1.998771";"2.578429";"3.569292";"4.503686";"5.713804";"7.520507";"9.437239";"11.688672";"15.315546";"19.015257";"24.414608";"29.533043";"35.330891";"44.409618";"53.318020";"67.797043";"82.573219";"98.217415";"121.689339";"143.541962";"170.955063";"213.626831";"253.348007";"265.824799";"265.752838";"265.782379";"265.828522";"265.901062";"265.977844";"266.079895";"265.787201";"265.923035";"265.892975";"265.953125";"265.510529";"265.540070";"265.540070";"265.570160";"265.659851";"265.797394";"265.839813"
"Z";"0.000000";"0.040956";"0.109706";"0.172969";"0.290092";"0.401390";"0.564730";"0.843004";"1.118027";"1.526927";"2.225996";"2.893794";"3.989022";"5.017732";"6.351817";"8.410462";"10.403296";"13.018194";"17.021645";"21.147902";"27.100019";"32.734528";"38.926521";"49.004284";"59.002274";"74.638443";"91.065033";"108.365608";"134.472763";"158.361496";"188.282471";"236.052856";"279.700043";"293.509338";"293.508820";"293.509094";"293.509644";"293.588959";"293.747406";"293.826996";"293.667023";"293.825989";"293.746918";"293.905060";"293.428528";"293.428802";"293.428802";"293.507874";"293.666290";"294.061676";"294.061920"
"R";"0.000000";"0.025533";"0.089382";"0.153635";"0.273753";"0.391217";"0.544828";"0.773431";"1.027716";"1.406003";"2.058978";"2.645204";"3.655878";"4.591959";"5.813347";"7.654366";"9.560097";"11.929339";"15.651801";"19.469391";"24.928787";"30.181408";"35.891243";"45.310417";"54.444855";"69.182320";"84.233009";"100.007782";"124.167358";"146.427856";"174.277283";"217.536758";"258.618683";"270.976410";"270.894318";"270.907318";"270.877289";"270.967773";"270.967560";"271.071045";"270.824982";"270.850800";"270.829376";"270.872192";"270.527496";"270.540497";"270.540497";"270.561920";"270.617737";"270.668732";"270.737793"
"G";"0.000000";"0.025053";"0.085497";"0.147257";"0.261540";"0.377844";"0.522502";"0.755649";"0.972590";"1.331109";"1.971306";"2.545392";"3.527221";"4.460036";"5.664430";"7.450270";"9.379076";"11.571273";"15.156569";"18.802450";"24.172501";"29.233805";"35.075890";"44.006588";"52.802662";"67.192139";"81.833954";"97.405579";"120.565239";"142.251846";"169.489792";"211.825714";"250.986008";"263.490662";"263.416199";"263.454773";"263.534637";"263.600159";"263.700684";"263.804810";"263.480835";"263.658539";"263.628906";"263.688171";"263.207092";"263.245667";"263.245667";"263.275299";"263.373138";"263.523987";"263.559875"
"B";"0.000000";"0.037942";"0.101146";"0.159143";"0.266519";"0.368351";"0.518487";"0.774618";"1.028114";"1.404056";"2.046056";"2.660330";"3.666709";"4.611685";"5.837321";"7.730541";"9.557942";"11.964731";"15.643503";"19.436430";"24.904787";"30.081930";"35.763905";"45.026863";"54.218189";"68.576042";"83.672279";"99.567719";"123.563438";"145.507050";"172.989746";"216.897736";"257.003265";"269.688965";"269.690460";"269.689697";"269.688110";"269.761139";"269.907837";"269.980072";"269.837860";"269.983032";"269.909271";"270.056763";"269.620300";"269.619537";"269.619537";"269.693298";"269.840027";"270.208740";"270.208008"
"ColorTemp";"5454.000000";"10459.000000";"7230.000000";"6648.000000";"6309.000000";"6166.000000";"6204.000000";"6483.000000";"6437.000000";"6428.000000";"6416.000000";"6486.000000";"6475.000000";"6490.000000";"6493.000000";"6523.000000";"6478.000000";"6481.000000";"6461.000000";"6451.000000";"6460.000000";"6447.000000";"6456.000000";"6435.000000";"6444.000000";"6422.000000";"6433.000000";"6448.000000";"6442.000000";"6435.000000";"6430.000000";"6455.000000";"6434.000000";"6444.000000";"6446.000000";"6445.000000";"6446.000000";"6446.000000";"6449.000000";"6449.000000";"6450.000000";"6453.000000";"6452.000000";"6454.000000";"6452.000000";"6452.000000";"6452.000000";"6453.000000";"6455.000000";"6461.000000";"6460.000000"
"DeltaE";"0.000000";"0.041346";"0.049948";"0.036103";"0.017885";"0.050420";"0.047857";"0.054815";"0.159063";"0.208617";"0.213412";"0.332498";"0.384258";"0.396986";"0.420952";"0.627171";"0.355056";"0.714841";"0.773656";"0.903882";"0.920258";"0.961475";"0.708888";"0.928247";"1.159871";"1.001981";"1.176559";"1.246941";"1.522820";"1.501589";"1.460581";"1.837159";"1.966057";"1.963981";"1.988028";"1.975514";"1.949578";"1.951655";"1.965757";"1.955240";"2.014075";"2.003568";"1.989553";"2.017641";"2.033379";"2.020740";"2.020740";"2.034776";"2.050330";"2.121636";"2.109024"
