"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.101135";"0.243374";"0.402656";"0.680723";"0.992526";"1.439826";"2.086362";"2.860002";"3.893743";"5.679623";"7.496404";"10.556726";"13.879573";"17.892431";"23.623280";"29.314972";"36.427811";"47.154819";"58.768703";"77.288460";"93.777435";"112.331306";"142.517746";"172.325546";"214.649307";"258.574066";"309.584900";"342.940399";"366.827301";"389.961517";"415.396057";"434.539429";"456.299805";"456.878998";"457.173157";"457.314301";"457.586853";"457.771179";"458.109436";"458.166168";"458.122040";"457.002899";"457.170593";"457.325470";"456.470093";"456.593658";"456.581146";"456.785095";"455.928894";"456.192657"
"Y";"0.000000";"0.099952";"0.250734";"0.417978";"0.704297";"1.024701";"1.499960";"2.167556";"2.957447";"4.051245";"5.884567";"7.779631";"10.922842";"14.355950";"18.445826";"24.381861";"30.241100";"37.533085";"48.647171";"60.629395";"79.942604";"96.848389";"116.121933";"147.390045";"178.174240";"221.930664";"267.556366";"320.240540";"354.617096";"379.464539";"403.447266";"430.044312";"449.599152";"471.925812";"472.509247";"472.804199";"473.029755";"473.341309";"473.533630";"473.888184";"474.058411";"473.998779";"472.814819";"473.006592";"473.261688";"472.342590";"472.474731";"472.497772";"472.795319";"471.916992";"472.181854"
"Z";"0.000000";"0.131351";"0.274619";"0.448288";"0.763284";"1.097446";"1.580298";"2.331412";"3.170977";"4.362450";"6.392967";"8.386705";"11.756086";"15.452449";"19.960711";"26.389509";"32.659866";"40.596058";"52.738701";"65.517929";"85.998146";"105.041092";"125.915100";"159.489502";"192.744736";"240.205902";"288.942566";"346.007294";"384.649933";"410.846222";"438.456238";"468.056763";"491.139771";"515.266907";"516.611694";"517.086914";"517.404297";"517.879761";"518.196594";"518.751160";"519.068298";"518.988953";"517.797791";"518.035767";"518.353455";"517.558350";"517.717041";"517.322937";"517.640869";"516.609619";"517.005737"
"R";"0.000000";"0.104779";"0.259019";"0.428957";"0.724644";"1.061262";"1.537723";"2.219818";"3.054191";"4.137805";"6.036929";"7.976456";"11.258176";"14.804597";"19.096189";"25.193670";"31.291388";"38.896999";"50.281521";"62.718399";"82.451324";"99.918633";"119.624458";"151.814835";"183.608200";"228.673355";"275.498779";"329.867645";"365.108307";"390.637909";"414.824768";"441.526276";"461.584290";"484.884247";"485.330322";"485.609955";"485.691589";"485.928162";"486.095917";"486.409973";"486.366425";"486.332001";"485.133820";"485.293152";"485.387787";"484.447815";"484.572723";"484.642883";"484.806610";"483.910522";"484.168762"
"G";"0.000000";"0.096217";"0.247386";"0.414283";"0.696698";"1.012024";"1.489682";"2.149653";"2.923971";"4.021695";"5.826644";"7.710218";"10.804053";"14.196638";"18.203667";"24.079922";"29.855644";"37.026196";"48.031967";"59.859840";"79.055595";"95.690987";"114.806084";"145.755310";"176.169678";"219.433380";"264.671478";"316.726685";"350.667877";"375.321564";"399.101624";"425.605469";"444.817108";"466.781067";"467.359283";"467.647430";"467.922974";"468.252380";"468.445374";"468.801758";"469.044098";"468.975861";"467.789337";"467.991302";"468.305420";"467.377411";"467.511139";"467.550537";"467.900543";"467.035278";"467.293823"
"B";"0.000000";"0.121265";"0.252309";"0.411593";"0.701034";"1.007671";"1.450167";"2.140702";"2.911584";"4.005617";"5.871817";"7.701269";"10.795374";"14.189784";"18.333231";"24.237511";"29.995102";"37.285995";"48.440403";"60.173092";"78.969757";"96.479408";"115.649391";"146.477600";"177.019104";"220.611084";"265.353088";"317.764740";"353.291077";"377.331299";"402.727203";"429.927246";"451.176880";"473.337891";"474.590179";"475.030457";"475.322357";"475.761841";"476.055359";"476.568634";"476.861176";"476.788208";"475.696777";"475.915771";"476.206909";"475.482025";"475.628021";"475.255524";"475.545929";"474.596771";"474.963318"
"ColorTemp";"5454.000000";"7398.000000";"6311.000000";"6253.000000";"6286.000000";"6185.000000";"6177.000000";"6281.000000";"6210.000000";"6305.000000";"6318.000000";"6284.000000";"6241.000000";"6238.000000";"6237.000000";"6251.000000";"6231.000000";"6227.000000";"6257.000000";"6236.000000";"6234.000000";"6271.000000";"6280.000000";"6271.000000";"6267.000000";"6270.000000";"6264.000000";"6264.000000";"6286.000000";"6278.000000";"6304.000000";"6322.000000";"6340.000000";"6332.000000";"6341.000000";"6343.000000";"6346.000000";"6349.000000";"6350.000000";"6352.000000";"6357.000000";"6356.000000";"6357.000000";"6358.000000";"6361.000000";"6363.000000";"6363.000000";"6358.000000";"6360.000000";"6359.000000";"6360.000000"
"DeltaE";"0.000000";"0.043531";"0.009704";"0.017800";"0.023098";"0.052915";"0.112065";"0.079405";"0.141224";"0.133279";"0.162711";"0.243311";"0.365858";"0.437335";"0.490928";"0.541499";"0.654088";"0.736760";"0.752233";"0.897732";"1.063721";"0.967556";"1.002022";"1.145836";"1.264324";"1.363361";"1.520696";"1.628648";"1.545856";"1.631665";"1.522206";"1.471502";"1.551543";"1.611065";"1.636545";"1.645269";"1.633743";"1.635253";"1.640850";"1.649929";"1.637576";"1.639177";"1.649172";"1.647934";"1.633530";"1.653569";"1.654002";"1.618523";"1.602475";"1.595459";"1.604089"
