"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.028020";"0.080438";"0.135341";"0.217228";"0.295520";"0.392718";"0.578304";"0.814488";"1.104182";"1.678460";"2.187238";"3.086002";"3.922728";"5.065744";"6.675613";"8.433247";"10.669140";"14.064186";"17.488150";"22.648170";"27.515799";"32.964176";"41.699207";"50.439110";"64.445000";"78.431183";"93.595200";"116.229019";"137.453461";"164.450928";"205.358826";"244.457520";"256.292999";"256.540131";"256.436096";"256.590027";"256.647888";"256.649963";"256.579285";"256.681244";"256.588074";"256.676300";"256.784058";"256.907623";"256.775299";"256.898865";"256.737885";"256.919312";"256.782013";"256.544403"
"Y";"0.000000";"0.025968";"0.079057";"0.135984";"0.222835";"0.306399";"0.408322";"0.600457";"0.844620";"1.144655";"1.732245";"2.258092";"3.187071";"4.095805";"5.266103";"6.912593";"8.750759";"11.004496";"14.534458";"18.088554";"23.394489";"28.457571";"34.116398";"43.167645";"52.068069";"66.754372";"81.201813";"96.881584";"120.220253";"142.277542";"170.011124";"212.491074";"252.874496";"265.381317";"265.645599";"265.485046";"265.647278";"265.736420";"265.748230";"265.722412";"265.871185";"265.769104";"265.888367";"265.979156";"266.111328";"265.932465";"266.064606";"265.907745";"266.129059";"265.967377";"265.575348"
"Z";"0.000000";"0.040027";"0.096623";"0.151932";"0.243966";"0.333724";"0.436325";"0.648404";"0.908984";"1.243154";"1.918589";"2.476855";"3.474707";"4.402280";"5.753855";"7.625996";"9.472616";"12.003715";"15.912048";"19.800865";"25.594248";"31.228537";"37.340042";"47.181435";"57.099976";"72.816826";"88.688828";"106.067810";"131.858704";"155.985413";"186.616653";"233.360291";"277.485870";"290.585510";"290.902832";"290.901520";"291.139252";"291.218842";"291.061218";"291.061279";"291.220215";"291.140625";"291.299316";"291.615356";"291.774017";"291.535980";"291.694641";"291.693634";"291.931915";"291.772980";"291.927460"
"R";"0.000000";"0.028721";"0.085480";"0.145466";"0.231826";"0.313759";"0.418362";"0.614869";"0.867441";"1.173350";"1.779035";"2.323931";"3.283519";"4.161620";"5.365041";"7.068603";"8.964109";"11.359366";"14.941570";"18.569775";"24.072468";"29.199930";"34.991501";"44.273346";"53.597645";"68.434601";"83.283363";"99.333878";"123.351746";"145.827652";"174.546646";"217.817154";"259.390961";"271.940460";"272.190308";"272.069153";"272.215485";"272.262939";"272.302216";"272.190063";"272.271912";"272.168427";"272.237274";"272.309875";"272.434814";"272.331543";"272.456451";"272.236176";"272.408539";"272.270599";"271.963013"
"G";"0.000000";"0.023928";"0.075691";"0.131984";"0.219235";"0.303536";"0.405111";"0.595312";"0.836648";"1.133786";"1.711409";"2.231046";"3.149275";"4.075030";"5.226088";"6.843872";"8.672582";"10.865005";"14.369364";"17.893148";"23.121395";"28.149494";"33.760963";"42.723900";"51.441006";"66.091606";"80.371681";"95.882324";"118.926155";"140.812027";"168.127350";"210.260239";"250.168991";"262.702209";"262.969666";"262.779449";"262.942810";"263.049622";"263.064819";"263.070221";"263.245209";"263.141113";"263.277527";"263.357483";"263.491211";"263.286591";"263.420319";"263.274048";"263.514587";"263.342255";"262.869415"
"B";"0.000000";"0.037097";"0.089074";"0.139719";"0.224160";"0.306536";"0.400559";"0.595431";"0.834667";"1.141793";"1.763171";"2.275642";"3.191917";"4.041749";"5.285283";"7.007151";"8.699380";"11.027174";"14.618431";"18.190779";"23.513262";"28.691080";"34.303284";"43.342590";"52.461124";"66.888115";"81.471161";"97.442123";"121.142792";"143.305450";"171.455597";"214.401169";"254.937820";"266.953857";"267.245880";"267.249664";"267.469421";"267.541656";"267.392639";"267.392548";"267.537750";"267.465485";"267.611450";"267.907227";"268.053253";"267.834290";"267.980316";"267.983246";"268.201477";"268.056213";"268.214355"
"ColorTemp";"5454.000000";"8682.000000";"6598.000000";"6165.000000";"6260.000000";"6343.000000";"6247.000000";"6301.000000";"6265.000000";"6322.000000";"6408.000000";"6344.000000";"6307.000000";"6330.000000";"6394.000000";"6418.000000";"6310.000000";"6296.000000";"6342.000000";"6351.000000";"6332.000000";"6367.000000";"6357.000000";"6350.000000";"6342.000000";"6343.000000";"6346.000000";"6360.000000";"6365.000000";"6370.000000";"6365.000000";"6378.000000";"6369.000000";"6365.000000";"6366.000000";"6368.000000";"6370.000000";"6370.000000";"6367.000000";"6369.000000";"6371.000000";"6372.000000";"6374.000000";"6378.000000";"6378.000000";"6376.000000";"6376.000000";"6381.000000";"6382.000000";"6381.000000";"6389.000000"
"DeltaE";"0.000000";"0.038987";"0.038843";"0.023148";"0.018208";"0.014346";"0.034630";"0.033369";"0.057195";"0.056574";"0.148532";"0.145155";"0.183705";"0.219057";"0.178332";"0.368112";"0.322503";"0.448863";"0.486885";"0.519806";"0.626774";"0.688633";"0.680163";"0.729270";"0.971064";"0.836297";"0.944286";"1.067073";"1.263454";"1.290420";"1.517516";"1.613890";"1.710458";"1.570589";"1.571865";"1.611154";"1.618944";"1.607328";"1.581443";"1.569776";"1.555735";"1.561566";"1.556777";"1.595257";"1.596418";"1.602545";"1.603647";"1.627528";"1.617132";"1.625760";"1.776575"
