"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.089517";"0.230094";"0.371740";"0.687529";"1.007873";"1.475248";"2.149907";"3.032440";"4.143719";"6.163519";"8.146137";"11.744853";"15.321770";"19.725502";"26.196003";"32.760532";"40.847343";"53.356586";"67.550751";"87.957603";"107.106621";"128.594086";"164.789017";"198.611984";"250.556992";"303.769684";"363.982422";"455.957306";"541.848145";"643.677063";"807.523865";"964.955994";"1014.265381";"1012.045471";"1012.330627";"1013.016907";"1011.618286";"1009.930969";"1010.432007";"1014.264893";"1017.093445";"1017.213867";"1015.528076";"1015.786865";"1013.868225";"1013.979004";"1014.101746";"1016.345703";"1016.636963";"1014.693970"
"Y";"0.000000";"0.088476";"0.238368";"0.388658";"0.715895";"1.047507";"1.542855";"2.241564";"3.154509";"4.291433";"6.382281";"8.450582";"12.109685";"15.799037";"20.363611";"27.040453";"33.778576";"42.138992";"55.076340";"69.711281";"90.967545";"110.558296";"133.054871";"170.245834";"205.145004";"259.128906";"313.807922";"376.587738";"471.561432";"559.948730";"665.465149";"834.524536";"996.543152";"1047.876587";"1045.561279";"1045.983398";"1046.832153";"1045.475586";"1043.806519";"1044.369995";"1048.304443";"1051.140381";"1051.475464";"1049.685059";"1049.967041";"1048.074951";"1048.270508";"1048.443359";"1050.619751";"1050.943604";"1049.230835"
"Z";"0.000000";"0.114099";"0.258733";"0.410883";"0.762948";"1.110856";"1.636725";"2.398726";"3.357066";"4.678082";"6.924111";"9.146904";"13.059200";"17.024603";"22.103329";"29.167976";"36.548389";"45.517410";"59.486324";"75.517204";"98.061180";"119.961349";"144.091766";"184.330109";"222.503098";"279.893555";"339.573273";"406.962250";"512.030334";"609.007385";"725.269287";"908.841187";"1085.580688";"1141.849487";"1139.862061";"1140.575317";"1141.843750";"1140.257568";"1138.827026";"1139.698608";"1144.141968";"1147.473389";"1147.870972";"1145.729126";"1146.204346";"1144.299072";"1144.537354";"1144.459839";"1147.155518";"1147.552246";"1145.412476"
"R";"0.000000";"0.093288";"0.244646";"0.395791";"0.732286";"1.076097";"1.568976";"2.285522";"3.232963";"4.401515";"6.555990";"8.660543";"12.545429";"16.368681";"21.017879";"27.960459";"34.962650";"43.598492";"56.931206";"72.030045";"93.788414";"114.143051";"136.913300";"175.622849";"211.599091";"267.026764";"323.803284";"387.761597";"485.245972";"576.678894";"684.492859";"859.112366";"1026.955688";"1079.086060";"1076.602417";"1076.760986";"1077.315796";"1075.799316";"1073.859009";"1074.297729";"1078.352173";"1081.354980";"1081.341797";"1079.627441";"1079.850952";"1077.713135";"1077.773315";"1077.942139";"1080.337158";"1080.621338";"1078.437378"
"G";"0.000000";"0.085140";"0.235999";"0.386908";"0.710904";"1.038869";"1.536296";"2.227985";"3.130491";"4.248279";"6.316964";"8.373623";"11.951016";"15.592676";"20.115456";"26.706131";"33.338158";"41.602776";"54.396442";"68.843452";"89.954575";"109.201843";"131.622498";"168.245285";"202.712189";"256.250732";"310.103912";"372.506653";"466.369354";"553.513794";"658.025757";"824.969299";"984.700439";"1035.693848";"1033.399902";"1033.903442";"1034.837769";"1033.552490";"1031.956665";"1032.547363";"1036.422119";"1039.173218";"1039.640747";"1037.836670";"1038.127441";"1036.317993";"1036.563965";"1036.760498";"1038.824951";"1039.160645";"1037.653442"
"B";"0.000000";"0.105297";"0.237636";"0.377059";"0.700342";"1.019601";"1.502121";"2.202079";"3.081526";"4.297135";"6.359498";"8.400276";"11.993336";"15.634753";"20.302271";"26.786995";"33.568264";"41.803753";"54.632286";"69.360672";"90.051949";"110.185699";"132.337692";"169.297180";"204.366928";"257.046356";"311.875305";"373.744781";"470.297974";"559.402405";"666.225098";"834.842041";"997.209595";"1048.899170";"1047.086426";"1047.745483";"1048.916382";"1047.455200";"1046.149048";"1046.954956";"1051.040771";"1054.108154";"1054.470459";"1052.499268";"1052.939575";"1051.191528";"1051.409668";"1051.331421";"1053.817749";"1054.182739";"1052.205688"
"ColorTemp";"5454.000000";"7192.000000";"6311.000000";"6237.000000";"6245.000000";"6194.000000";"6262.000000";"6286.000000";"6226.000000";"6337.000000";"6302.000000";"6307.000000";"6216.000000";"6211.000000";"6272.000000";"6230.000000";"6238.000000";"6232.000000";"6238.000000";"6255.000000";"6246.000000";"6269.000000";"6282.000000";"6264.000000";"6273.000000";"6259.000000";"6259.000000";"6267.000000";"6295.000000";"6297.000000";"6316.000000";"6306.000000";"6301.000000";"6307.000000";"6310.000000";"6313.000000";"6316.000000";"6317.000000";"6320.000000";"6322.000000";"6323.000000";"6323.000000";"6325.000000";"6324.000000";"6325.000000";"6327.000000";"6328.000000";"6327.000000";"6327.000000";"6328.000000";"6329.000000"
"DeltaE";"0.000000";"0.015599";"0.003150";"0.011491";"0.016647";"0.029688";"0.040489";"0.042806";"0.078464";"0.054600";"0.087613";"0.112731";"0.233053";"0.293948";"0.281349";"0.396835";"0.437838";"0.507310";"0.574447";"0.607855";"0.729149";"0.728046";"0.737633";"0.892641";"0.940589";"1.096403";"1.184002";"1.240655";"1.221024";"1.332712";"1.373268";"1.540609";"1.711085";"1.705916";"1.704608";"1.693198";"1.681518";"1.672593";"1.665818";"1.663205";"1.668856";"1.679883";"1.661752";"1.663568";"1.663622";"1.655693";"1.648884";"1.642812";"1.659363";"1.657940";"1.628521"
