"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.086777";"0.203983";"0.305396";"0.466008";"0.605174";"0.818808";"1.128409";"1.514065";"2.073759";"2.980137";"3.844102";"5.224217";"6.614488";"8.485563";"11.361252";"14.315145";"17.922506";"23.009794";"28.239349";"36.285030";"43.913525";"53.095730";"68.169540";"83.492455";"104.463036";"125.314705";"149.138214";"187.047928";"221.080627";"262.276978";"327.145874";"388.744446";"407.687744";"407.811310";"407.863281";"408.399902";"408.161560";"411.892273";"411.749146";"411.669708";"411.469574";"411.824493";"411.787384";"411.699158";"411.553986";"411.488281";"414.987122";"414.799530";"414.813263";"414.736694"
"Y";"0.000000";"0.081483";"0.203737";"0.312285";"0.482128";"0.628277";"0.854127";"1.176399";"1.578009";"2.148714";"3.089186";"4.003366";"5.455385";"6.886482";"8.829327";"11.777929";"14.862640";"18.516195";"23.784508";"29.197325";"37.602787";"45.580669";"54.996220";"70.678596";"86.503426";"108.261520";"129.910568";"154.766586";"193.899445";"229.038208";"272.004700";"338.967255";"402.725677";"422.621735";"422.753906";"422.767365";"423.303497";"423.085907";"427.045532";"426.941803";"426.869263";"426.635620";"426.990723";"426.925720";"426.806488";"426.690979";"426.647980";"430.385132";"430.128418";"430.157959";"430.056458"
"Z";"0.000000";"0.132507";"0.253392";"0.364142";"0.550602";"0.699149";"0.949134";"1.320111";"1.760268";"2.436033";"3.462256";"4.440852";"6.102914";"7.679949";"9.769983";"13.057306";"16.387835";"20.513531";"26.464603";"32.495502";"41.307472";"50.195507";"60.669907";"77.891594";"95.429214";"119.001602";"142.809967";"169.953247";"213.123886";"251.771851";"298.677368";"374.058136";"443.108002";"465.880310";"466.038971";"466.117767";"466.515625";"466.277679";"470.879517";"470.563538";"470.484222";"470.324768";"470.958130";"470.642029";"470.483368";"470.324982";"470.245941";"473.663177";"473.897827";"473.898102";"473.897308"
"R";"0.000000";"0.086407";"0.213495";"0.320913";"0.488968";"0.638244";"0.861302";"1.184148";"1.591806";"2.178378";"3.139762";"4.049757";"5.481318";"6.959294";"8.950632";"12.005419";"15.135098";"18.982731";"24.334002";"29.857868";"38.446873";"46.452553";"56.212059";"72.146652";"88.378151";"110.665154";"132.727036";"157.904785";"198.124359";"234.255081";"277.806671";"346.245270";"411.813660";"431.485626";"431.610535";"431.675018";"432.304688";"432.033203";"435.863098";"435.734406";"435.643890";"435.423859";"435.746338";"435.785858";"435.717010";"435.549042";"435.471558";"439.282654";"438.992462";"439.005493";"438.910370"
"G";"0.000000";"0.075953";"0.197342";"0.306945";"0.477357";"0.623169";"0.849768";"1.170164";"1.569191";"2.129249";"3.061427";"3.978629";"5.431914";"6.843266";"8.769398";"11.670448";"14.740060";"18.306084";"23.524492";"28.882900";"37.245281";"45.195808";"54.459503";"70.032021";"85.673714";"107.236427";"128.705872";"153.430664";"192.095520";"226.817368";"269.546997";"335.733002";"398.819946";"418.711639";"418.845398";"418.833740";"419.348907";"419.152344";"423.138397";"423.061157";"422.995605";"422.748810";"423.096222";"423.010925";"422.874481";"422.782013";"422.755096";"426.517426";"426.231262";"426.269836";"426.156769"
"B";"0.000000";"0.122891";"0.233625";"0.335117";"0.506365";"0.642527";"0.872166";"1.213370";"1.617702";"2.239857";"3.182506";"4.080658";"5.608859";"7.058022";"8.977116";"11.998974";"15.057098";"18.851608";"24.322990";"29.865913";"37.950779";"46.118240";"55.746258";"71.567322";"87.684341";"109.333046";"131.206650";"156.137604";"195.807022";"231.317734";"274.400085";"343.702484";"407.119354";"428.058167";"428.204163";"428.278748";"428.640137";"428.421051";"432.653259";"432.357452";"432.284424";"432.140656";"432.728455";"432.432770";"432.286804";"432.139984";"432.066193";"435.187714";"435.416473";"435.415710";"435.417969"
"ColorTemp";"5454.000000";"10147.000000";"6968.000000";"6694.000000";"6665.000000";"6509.000000";"6552.000000";"6619.000000";"6571.000000";"6626.000000";"6544.000000";"6521.000000";"6614.000000";"6557.000000";"6493.000000";"6466.000000";"6444.000000";"6422.000000";"6459.000000";"6464.000000";"6397.000000";"6432.000000";"6421.000000";"6425.000000";"6424.000000";"6402.000000";"6406.000000";"6410.000000";"6404.000000";"6398.000000";"6402.000000";"6427.000000";"6404.000000";"6425.000000";"6425.000000";"6425.000000";"6421.000000";"6422.000000";"6428.000000";"6426.000000";"6427.000000";"6427.000000";"6431.000000";"6426.000000";"6425.000000";"6426.000000";"6426.000000";"6418.000000";"6424.000000";"6424.000000";"6425.000000"
"DeltaE";"0.000000";"0.087729";"0.068404";"0.053246";"0.056224";"0.035150";"0.042569";"0.085569";"0.093082";"0.212580";"0.224062";"0.187478";"0.341988";"0.371390";"0.317373";"0.447142";"0.391814";"0.611571";"0.799689";"0.892079";"0.588115";"0.667332";"0.841327";"0.876102";"1.022313";"0.968531";"1.035739";"1.019543";"1.217985";"1.342895";"1.317217";"1.811211";"1.737521";"1.862140";"1.863885";"1.880410";"1.853002";"1.848459";"1.880175";"1.840330";"1.838851";"1.858377";"1.901031";"1.864244";"1.863703";"1.853273";"1.844320";"1.724172";"1.813503";"1.806119";"1.827016"
