"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.082644";"0.221575";"0.374612";"0.690713";"1.009755";"1.480901";"2.157306";"3.033574";"4.150553";"6.174887";"8.158926";"11.731849";"15.305132";"19.716721";"26.187222";"32.718475";"40.863144";"53.396881";"67.503731";"87.885178";"107.840477";"129.580872";"165.602325";"199.712723";"251.366470";"305.223663";"365.876831";"458.361816";"543.613159";"645.904236";"810.328003";"967.321411";"1016.768311";"1018.061584";"1018.779297";"1017.661194";"1017.970032";"1014.351501";"1014.478882";"1014.937866";"1015.052612";"1014.019775";"1012.273987";"1012.724121";"1012.881897";"1012.890686";"1012.939758";"1015.278809";"1015.191467";"1015.600403"
"Y";"0.000000";"0.081497";"0.228471";"0.390659";"0.716234";"1.046270";"1.544100";"2.243364";"3.150042";"4.306123";"6.389793";"8.459032";"12.109252";"15.798482";"20.316902";"26.993744";"33.730759";"42.180325";"55.072071";"69.680641";"90.889641";"111.357056";"134.059967";"171.117126";"206.276337";"259.936310";"315.375916";"378.485138";"474.028748";"561.771912";"667.734802";"837.325989";"999.067322";"1050.388428";"1051.839355";"1052.637085";"1051.679688";"1052.097046";"1048.425171";"1048.621216";"1049.136963";"1049.222412";"1048.279541";"1046.388062";"1046.857056";"1047.083130";"1047.129883";"1047.172363";"1049.636475";"1049.610107";"1049.990479"
"Z";"0.000000";"0.103734";"0.245979";"0.411004";"0.762928";"1.102404";"1.627981";"2.394573";"3.341034";"4.678215";"6.876184";"9.092987";"12.997601";"16.945797";"22.023960";"29.088610";"36.311405";"45.360039";"59.407200";"75.359322";"97.745125";"120.440125";"145.044937";"184.888199";"223.299377";"280.293182";"340.530548";"408.315552";"513.860840";"610.044922";"726.546265";"910.436890";"1087.096436";"1143.206787";"1145.346802";"1146.456665";"1145.189087";"1145.744507";"1142.170898";"1142.488037";"1143.122681";"1143.201904";"1142.170776";"1140.106934";"1140.662231";"1141.058472";"1141.137817";"1141.138062";"1144.073242";"1143.994507";"1144.548950"
"R";"0.000000";"0.086598";"0.236774";"0.399980";"0.737637";"1.081909";"1.580452";"2.298635";"3.240559";"4.407989";"6.584975";"8.693151";"12.538866";"16.360285";"21.039526";"27.982107";"34.967506";"43.650784";"57.021938";"72.000244";"93.771858";"114.997383";"138.008240";"176.567688";"212.884491";"268.027893";"325.498932";"389.995850";"488.032196";"578.797485";"687.185303";"862.525208";"1029.734375";"1082.145264";"1083.307007";"1083.974121";"1082.716431";"1082.957397";"1078.957275";"1079.025879";"1079.469482";"1079.616089";"1078.439697";"1076.638550";"1077.103760";"1077.193726";"1077.172119";"1077.241211";"1079.636353";"1079.515747";"1079.942017"
"G";"0.000000";"0.078277";"0.225479";"0.388229";"0.709328";"1.035482";"1.534402";"2.225896";"3.122263";"4.267471";"6.320772";"8.377908";"11.958014";"15.601629";"20.044554";"26.635227";"33.285160";"41.656578";"54.361431";"68.822777";"89.871948";"110.011330";"132.604401";"169.120300";"203.819672";"257.022522";"311.684296";"374.332153";"468.783600";"555.300598";"660.229858";"827.653564";"987.227661";"1038.107178";"1039.624023";"1040.452515";"1039.630249";"1040.107788";"1036.528442";"1036.765381";"1037.302979";"1037.365845";"1036.514038";"1034.587891";"1035.054688";"1035.321289";"1035.392212";"1035.428101";"1037.898193";"1037.912476";"1038.263428"
"B";"0.000000";"0.095708";"0.225893";"0.377139";"0.700365";"1.011724";"1.493929";"2.198219";"3.066633";"4.296753";"6.314221";"8.349340";"11.935086";"15.560233";"20.229334";"26.714060";"33.346287";"41.653992";"54.558628";"69.212395";"89.756226";"110.615562";"133.210159";"169.800079";"205.088196";"257.402618";"312.735809";"374.972046";"471.959534";"560.333130";"667.370483";"836.275146";"998.571533";"1050.114624";"1052.091675";"1053.115967";"1051.942871";"1052.453735";"1049.179932";"1049.472656";"1050.056641";"1050.129639";"1049.180298";"1047.285889";"1047.796997";"1048.163330";"1048.236328";"1048.235596";"1050.936890";"1050.862305";"1051.375610"
"ColorTemp";"5454.000000";"7025.000000";"6205.000000";"6179.000000";"6197.000000";"6121.000000";"6191.000000";"6241.000000";"6185.000000";"6333.000000";"6241.000000";"6255.000000";"6197.000000";"6193.000000";"6243.000000";"6208.000000";"6203.000000";"6210.000000";"6221.000000";"6247.000000";"6230.000000";"6251.000000";"6274.000000";"6252.000000";"6260.000000";"6247.000000";"6247.000000";"6254.000000";"6283.000000";"6287.000000";"6304.000000";"6294.000000";"6294.000000";"6298.000000";"6303.000000";"6305.000000";"6305.000000";"6307.000000";"6310.000000";"6312.000000";"6312.000000";"6312.000000";"6313.000000";"6312.000000";"6313.000000";"6314.000000";"6315.000000";"6314.000000";"6316.000000";"6317.000000";"6317.000000"
"DeltaE";"0.000000";"0.013299";"0.004689";"0.013537";"0.018134";"0.036781";"0.050498";"0.050128";"0.089801";"0.050706";"0.118112";"0.153039";"0.258757";"0.326750";"0.313315";"0.428572";"0.502568";"0.566019";"0.613986";"0.625185";"0.791876";"0.772485";"0.765051";"0.940042";"0.986870";"1.165808";"1.251082";"1.325254";"1.271401";"1.364678";"1.393016";"1.575215";"1.718204";"1.725810";"1.710220";"1.703566";"1.687276";"1.677834";"1.666213";"1.659939";"1.656153";"1.659251";"1.647529";"1.654159";"1.653881";"1.647658";"1.644197";"1.645163";"1.641625";"1.636056";"1.639682"
