"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.049568";"0.130311";"0.204069";"0.308250";"0.410862";"0.526072";"0.736531";"0.997359";"1.313308";"1.937290";"2.482897";"3.437230";"4.347115";"5.500908";"7.214858";"9.034487";"11.339772";"14.847653";"18.403042";"23.670918";"28.639595";"34.169186";"43.027874";"51.795166";"65.975380";"80.258698";"95.479431";"118.358414";"139.759140";"166.455399";"207.927017";"246.812683";"258.690674";"258.875000";"259.031006";"259.105499";"258.932831";"259.039764";"259.188751";"259.237823";"259.273163";"259.128021";"259.128021";"259.199615";"259.243713";"259.193726";"259.156311";"259.284851";"259.333923";"259.123047"
"Y";"0.000000";"0.045490";"0.126927";"0.204414";"0.314719";"0.423328";"0.545755";"0.764770";"1.027730";"1.356449";"1.999522";"2.569512";"3.558475";"4.531852";"5.730058";"7.475848";"9.389069";"11.731761";"15.375166";"19.015257";"24.545649";"29.664637";"35.448078";"44.765114";"53.590961";"68.370293";"83.217339";"99.067322";"122.792130";"144.820618";"172.705841";"215.687622";"255.767075";"268.187592";"268.379913";"268.553925";"268.643646";"268.469055";"268.600647";"268.780060";"268.822510";"268.835419";"268.719879";"268.719879";"268.838562";"268.898193";"268.762878";"268.738159";"268.853149";"268.895569";"268.737061"
"Z";"0.000000";"0.075865";"0.169966";"0.239669";"0.364864";"0.476668";"0.602716";"0.848990";"1.151408";"1.507363";"2.259818";"2.877822";"3.966943";"5.015295";"6.392420";"8.385072";"10.390241";"13.056888";"17.100986";"21.147902";"27.101067";"32.814377";"39.321308";"49.165115";"59.240440";"75.588547";"91.858040";"109.554199";"135.663803";"160.420380";"190.818161";"238.590210";"282.792267";"296.995026";"297.311859";"297.391937";"297.550354";"297.391449";"297.471313";"297.788147";"297.788391";"297.788361";"297.630005";"297.630005";"297.709869";"297.789215";"297.709045";"297.866699";"297.946259";"297.946503";"297.709106"
"R";"0.000000";"0.049687";"0.135485";"0.216878";"0.324763";"0.433950";"0.556239";"0.777220";"1.054809";"1.390065";"2.041826";"2.619106";"3.629626";"4.579719";"5.785243";"7.601616";"9.536679";"11.985074";"15.686224";"19.469391";"25.036915";"30.297930";"36.084408";"45.483376";"54.841496";"69.784660";"84.900658";"100.907639";"125.128265";"147.757462";"175.964615";"219.763748";"261.060608";"273.434296";"273.602051";"273.787659";"273.843475";"273.649475";"273.765991";"273.877655";"273.946747";"274.002808";"273.834839";"273.834839";"273.895294";"273.929718";"273.912323";"273.816986";"273.976562";"274.045654";"273.800171"
"G";"0.000000";"0.041684";"0.120979";"0.198162";"0.308989";"0.417907";"0.540989";"0.758598";"1.014548";"1.340896";"1.976283";"2.543665";"3.523250";"4.506631";"5.696020";"7.406832";"9.318036";"11.610130";"15.224783";"18.802450";"24.324144";"29.376495";"35.141495";"44.451679";"53.032436";"67.727165";"82.461365";"98.214348";"121.723946";"143.455658";"171.213242";"213.797729";"253.358353";"265.741089";"265.934082";"266.112671";"266.210510";"266.040863";"266.183563";"266.379242";"266.415161";"266.412445";"266.320007";"266.320007";"266.465363";"266.533600";"266.346924";"266.334412";"266.435822";"266.471710";"266.352325"
"B";"0.000000";"0.070407";"0.157008";"0.220668";"0.335744";"0.438248";"0.553804";"0.780182";"1.058468";"1.385355";"2.077805";"2.645320";"3.646002";"4.608155";"5.874758";"7.707757";"9.547252";"12.000175";"15.716487";"19.436430";"24.901760";"30.153423";"36.134293";"45.166683";"54.436607";"69.457458";"84.403160";"100.666679";"124.655441";"147.415894";"175.334274";"219.237259";"259.855194";"272.915039";"273.208557";"273.279327";"273.426056";"273.280792";"273.352264";"273.645752";"273.645020";"273.645081";"273.498230";"273.498230";"273.569672";"273.642670";"273.572021";"273.720978";"273.793304";"273.792572";"273.571930"
"ColorTemp";"5454.000000";"10299.000000";"7405.000000";"6488.000000";"6629.000000";"6510.000000";"6446.000000";"6493.000000";"6474.000000";"6441.000000";"6557.000000";"6520.000000";"6490.000000";"6516.000000";"6565.000000";"6545.000000";"6480.000000";"6471.000000";"6477.000000";"6451.000000";"6439.000000";"6440.000000";"6478.000000";"6439.000000";"6423.000000";"6442.000000";"6437.000000";"6457.000000";"6450.000000";"6455.000000";"6451.000000";"6457.000000";"6442.000000";"6458.000000";"6461.000000";"6459.000000";"6460.000000";"6461.000000";"6461.000000";"6465.000000";"6463.000000";"6462.000000";"6463.000000";"6463.000000";"6463.000000";"6464.000000";"6462.000000";"6467.000000";"6465.000000";"6464.000000";"6465.000000"
"DeltaE";"0.000000";"0.084118";"0.107994";"0.064238";"0.079514";"0.058885";"0.036275";"0.062112";"0.125450";"0.125778";"0.300212";"0.295981";"0.337505";"0.268804";"0.457450";"0.678935";"0.454570";"0.700297";"0.779646";"0.898999";"0.718604";"0.874038";"1.023875";"0.652307";"1.144306";"1.225197";"1.229144";"1.401602";"1.474572";"1.806930";"1.690111";"1.951368";"2.097940";"2.254111";"2.286245";"2.250078";"2.266083";"2.275277";"2.251659";"2.284060";"2.271278";"2.271255";"2.255106";"2.255106";"2.231480";"2.233245";"2.269524";"2.324260";"2.313004";"2.300167";"2.269647"
