"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.000000";"0.016204";"0.080605";"0.160976";"0.274225";"0.420439";"0.722134";"1.059747";"1.516109";"2.205781";"2.928521";"4.096338";"5.230247";"6.664234";"9.012354";"11.609015";"14.580057";"19.748857";"24.316454";"31.243832";"38.360493";"46.582638";"58.093414";"70.333534";"86.629585";"101.119125";"123.502907";"159.267761";"192.266922";"230.055664";"281.876862";"334.210724";"336.397766";"338.360291";"339.756958";"341.266327";"342.633423";"343.012909";"343.375671";"343.653198";"343.862091";"344.144562";"344.417145";"344.576965";"344.854462";"344.542450";"344.653198";"344.872864";"345.166199";"345.293579"
"Y";"0.000000";"0.000000";"0.014310";"0.077221";"0.160612";"0.280776";"0.437667";"0.754477";"1.095619";"1.574359";"2.293627";"3.027696";"4.234796";"5.434500";"6.912214";"9.374775";"12.036577";"15.046429";"20.399073";"25.091530";"32.272251";"39.628120";"48.272060";"60.186573";"72.782883";"89.716927";"104.699387";"127.802734";"164.495804";"198.999756";"238.011765";"291.676270";"345.708313";"347.888367";"350.013977";"351.492310";"353.044312";"354.451782";"354.894928";"355.203888";"355.498260";"355.778625";"356.055847";"356.367401";"356.605316";"356.899719";"356.551636";"356.747101";"356.952332";"357.288055";"357.484100"
"Z";"0.000000";"0.000000";"0.032447";"0.115653";"0.201178";"0.322094";"0.480896";"0.827985";"1.200168";"1.730381";"2.561032";"3.408758";"4.716908";"6.006735";"7.572096";"10.205212";"13.120691";"16.546392";"22.419142";"27.577402";"35.434353";"43.529011";"52.658352";"65.516190";"79.798073";"98.132347";"114.244606";"139.639633";"180.189957";"217.258133";"260.822388";"320.024078";"378.754181";"381.450226";"383.752319";"385.339905";"387.164429";"388.909119";"389.464478";"390.097260";"390.493652";"390.732452";"391.049774";"391.525269";"391.763824";"392.160217";"392.000031";"392.238342";"392.555115";"392.794159";"393.111267"
"R";"0.000000";"0.000000";"0.014505";"0.081600";"0.168235";"0.289263";"0.444218";"0.761489";"1.125403";"1.604185";"2.321796";"3.086583";"4.330490";"5.523463";"7.062860";"9.550647";"12.322676";"15.484302";"20.965347";"25.830196";"33.177101";"40.726402";"49.453102";"61.717148";"74.629890";"91.935524";"107.397186";"131.169830";"169.239151";"204.221756";"244.176910";"299.046753";"354.785339";"357.081207";"359.110779";"360.580231";"362.156982";"363.561127";"363.914215";"364.266724";"364.537964";"364.736359";"365.042267";"365.278839";"365.408142";"365.679382";"365.308167";"365.368378";"365.592194";"365.915741";"365.984344"
"G";"0.000000";"0.000000";"0.012841";"0.072912";"0.155481";"0.276130";"0.434768";"0.751227";"1.083467";"1.561457";"2.277452";"2.995596";"4.188925";"5.392616";"6.849995";"9.306770";"11.924369";"14.863040";"20.162188";"24.783697";"31.896793";"39.170567";"47.805801";"59.594204";"72.020943";"88.819458";"103.632591";"126.456482";"162.566071";"196.925888";"235.482254";"288.615631";"341.993866";"344.102325";"346.266296";"347.749908";"349.281189";"350.672424";"351.144531";"351.412109";"351.709198";"352.026917";"352.291687";"352.621124";"352.902924";"353.200012";"352.842865";"353.088776";"353.279083";"353.629974";"353.866943"
"B";"0.000000";"0.000000";"0.030245";"0.107084";"0.185516";"0.296298";"0.441787";"0.760578";"1.102606";"1.589736";"2.353759";"3.133821";"4.335303";"5.519240";"6.956182";"9.373141";"12.052001";"15.203300";"20.598719";"25.338593";"32.556316";"39.993851";"48.370651";"60.178486";"73.311729";"90.149071";"104.944473";"128.277832";"165.544968";"199.576141";"239.619461";"294.016907";"347.963287";"350.448792";"352.561493";"354.018677";"355.697968";"357.305695";"357.816650";"358.406036";"358.771820";"358.988525";"359.280579";"359.720062";"359.937469";"360.303253";"360.161713";"360.379852";"360.673401";"360.889435";"361.182098"
"ColorTemp";"5454.000000";"5454.000000";"99643.000000";"8771.000000";"7023.000000";"6579.000000";"6448.000000";"6480.000000";"6351.000000";"6423.000000";"6552.000000";"6548.000000";"6468.000000";"6470.000000";"6387.000000";"6375.000000";"6349.000000";"6358.000000";"6364.000000";"6352.000000";"6357.000000";"6361.000000";"6348.000000";"6331.000000";"6367.000000";"6360.000000";"6341.000000";"6343.000000";"6340.000000";"6340.000000";"6361.000000";"6372.000000";"6358.000000";"6361.000000";"6363.000000";"6364.000000";"6366.000000";"6369.000000";"6372.000000";"6375.000000";"6376.000000";"6377.000000";"6377.000000";"6380.000000";"6382.000000";"6384.000000";"6387.000000";"6390.000000";"6391.000000";"6389.000000";"6393.000000"
"DeltaE";"0.000000";"0.000000";"0.036834";"0.077789";"0.068331";"0.044657";"0.015032";"0.019955";"0.047619";"0.061423";"0.172044";"0.306844";"0.305848";"0.250815";"0.218714";"0.198525";"0.294184";"0.496970";"0.555257";"0.643648";"0.681516";"0.755100";"0.619258";"0.698739";"0.874175";"0.870468";"0.916818";"1.041697";"1.328314";"1.224334";"1.426768";"1.580853";"1.657633";"1.712661";"1.690753";"1.681981";"1.700472";"1.727830";"1.725428";"1.778569";"1.787333";"1.764302";"1.769899";"1.782288";"1.763720";"1.773087";"1.810496";"1.797374";"1.816473";"1.790390";"1.793031"
