"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.097863";"0.230529";"0.350409";"0.534443";"0.734365";"1.005865";"1.397213";"1.938108";"2.585929";"3.767526";"4.823112";"6.614488";"8.485563";"10.925797";"14.739885";"18.413883";"22.811733";"29.174166";"35.758316";"46.147057";"56.258904";"68.388359";"86.938103";"103.640411";"132.742462";"159.741104";"190.170273";"235.506439";"276.458527";"326.280640";"401.112030";"470.299255";"491.401886";"491.547058";"491.029968";"490.743683";"503.715424";"503.569305";"502.988586";"502.683594";"502.094971";"501.696777";"501.180908";"500.641388";"510.512878";"509.983276";"509.350555";"508.961151";"508.294220";"507.829102"
"Y";"0.000000";"0.093139";"0.232633";"0.363016";"0.555404";"0.764516";"1.046527";"1.467905";"2.024724";"2.684274";"3.922667";"5.028599";"6.886482";"8.829327";"11.308490";"15.284351";"19.073767";"23.562654";"30.188963";"37.032307";"47.791840";"58.390133";"70.924606";"90.174545";"107.344017";"137.521652";"165.749023";"197.298126";"243.855835";"286.529022";"338.002441";"415.651672";"487.258118";"509.235352";"509.350861";"508.786316";"508.445221";"521.561218";"521.352844";"520.757080";"520.403625";"519.854065";"519.398499";"518.886536";"518.379395";"528.668274";"528.126770";"527.517517";"527.108704";"526.405518";"525.854431"
"Z";"0.000000";"0.144806";"0.272906";"0.416984";"0.619559";"0.847951";"1.154059";"1.610139";"2.268467";"3.002502";"4.322598";"5.579700";"7.679949";"9.769983";"12.560837";"16.784956";"21.069632";"26.147528";"33.369892";"40.751400";"52.339504";"64.084892";"77.972206";"99.161491";"117.654221";"150.984894";"181.227310";"215.908066";"267.803680";"314.470398";"371.763855";"457.550751";"536.433960";"560.718079";"560.876465";"560.635925";"560.160156";"575.390930";"575.152649";"574.675476";"574.278503";"573.801880";"573.325378";"572.690979";"572.214600";"582.222229";"581.587646";"581.031616";"580.634521";"579.840942";"579.679199"
"R";"0.000000";"0.098176";"0.243841";"0.366749";"0.562911";"0.773855";"1.062054";"1.468416";"2.032075";"2.723565";"3.976971";"5.077137";"6.959294";"8.950632";"11.550672";"15.613600";"19.487022";"24.153250";"30.888336";"37.886509";"48.956966";"59.569618";"72.414360";"92.041618";"109.920738";"140.699249";"169.343155";"201.569946";"249.686340";"292.983459";"345.684479";"424.787231";"498.099609";"520.354980";"520.523010";"519.897095";"519.647461";"533.390869";"533.274597";"532.610474";"532.313232";"531.619080";"531.218262";"530.675537";"530.050476";"540.800842";"540.245117";"539.516541";"539.094116";"538.400452";"537.838989"
"G";"0.000000";"0.087598";"0.226663";"0.359776";"0.551270";"0.759615";"1.039304";"1.466745";"2.016613";"2.662453";"3.897367";"5.001177";"6.843266";"8.769398";"11.194085";"15.144846";"18.888569";"23.292912";"29.876436";"36.665485";"47.314896";"57.890743";"70.285080";"89.369736";"106.280479";"136.186066";"164.292679";"195.551727";"241.405273";"283.819885";"334.714020";"411.697174";"482.566193";"504.406342";"504.498779";"503.927155";"503.559143";"516.353149";"516.109924";"515.526550";"515.152283";"514.648743";"514.170349";"513.676697";"513.209045";"523.417542";"522.885254";"522.313538";"521.906067";"521.201477";"520.618164"
"B";"0.000000";"0.134176";"0.251243";"0.383528";"0.569407";"0.779177";"1.060312";"1.478902";"2.084890";"2.759700";"3.971343";"5.127076";"7.058022";"8.977116";"11.543609";"15.420712";"19.360374";"24.030243";"30.663820";"37.441967";"48.083092";"58.874416";"71.636604";"91.104576";"108.088303";"138.714386";"166.477097";"198.339935";"246.043289";"288.908905";"341.566864";"420.392334";"492.872162";"515.184448";"515.331299";"515.119690";"514.680969";"528.698914";"528.480774";"528.046387";"527.682129";"527.246155";"526.809631";"526.224792";"525.788086";"534.951172";"534.367065";"533.858093";"533.494568";"532.765198";"532.628174"
"ColorTemp";"5454.000000";"9377.000000";"6583.000000";"6726.000000";"6538.000000";"6516.000000";"6468.000000";"6538.000000";"6630.000000";"6545.000000";"6471.000000";"6536.000000";"6557.000000";"6493.000000";"6461.000000";"6401.000000";"6431.000000";"6432.000000";"6424.000000";"6402.000000";"6368.000000";"6407.000000";"6410.000000";"6414.000000";"6375.000000";"6390.000000";"6378.000000";"6383.000000";"6386.000000";"6392.000000";"6401.000000";"6411.000000";"6409.000000";"6413.000000";"6413.000000";"6417.000000";"6415.000000";"6417.000000";"6416.000000";"6418.000000";"6417.000000";"6420.000000";"6420.000000";"6419.000000";"6421.000000";"6406.000000";"6406.000000";"6409.000000";"6409.000000";"6409.000000";"6412.000000"
"DeltaE";"0.000000";"0.071928";"0.036537";"0.038580";"0.027500";"0.029281";"0.030453";"0.020747";"0.113355";"0.147713";"0.107280";"0.192046";"0.318205";"0.275908";"0.424532";"0.313391";"0.467173";"0.663287";"0.632478";"0.578997";"0.564690";"0.592279";"0.717907";"0.803731";"0.829878";"0.958999";"0.845560";"0.934979";"1.258071";"1.257914";"1.481994";"1.638847";"1.763220";"1.789529";"1.798180";"1.849685";"1.842056";"2.001459";"2.007063";"2.029311";"2.032447";"2.041769";"2.049822";"2.037052";"2.041351";"1.876791";"1.870567";"1.877545";"1.884158";"1.882495";"1.945893"
