"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.054976";"0.141287";"0.220879";"0.331121";"0.438170";"0.558357";"0.773202";"1.032639";"1.371684";"2.019458";"2.575438";"3.535749";"4.423830";"5.605869";"7.372509";"9.216924";"11.436363";"14.984962";"18.603165";"23.858137";"28.901310";"34.422207";"43.321938";"52.098099";"66.254951";"80.556671";"95.779465";"118.782852";"140.018875";"166.510056";"208.136459";"247.118301";"259.187622";"258.953094";"259.090393";"259.104980";"259.228546";"259.404083";"259.263885";"259.263885";"259.286407";"259.379578";"259.017670";"258.924377";"258.982239";"259.146118";"259.234344";"259.261810";"258.988129";"260.527893"
"Y";"0.000000";"0.050466";"0.138868";"0.221853";"0.338876";"0.453934";"0.581629";"0.800806";"1.065060";"1.417498";"2.083694";"2.662363";"3.668829";"4.604462";"5.836202";"7.656235";"9.572574";"11.848977";"15.536846";"19.248911";"24.708992";"29.917686";"35.788063";"44.926411";"53.932610";"68.676483";"83.576164";"99.437950";"123.254120";"145.195511";"172.864258";"215.967499";"256.253662";"268.861115";"268.707428";"268.869110";"268.857849";"268.989990";"269.135620";"269.002899";"269.002899";"269.079163";"269.181213";"268.831482";"268.595764";"268.684937";"268.812805";"268.932037";"268.991119";"268.760620";"270.342682"
"Z";"0.000000";"0.086921";"0.188985";"0.267208";"0.395443";"0.516422";"0.655903";"0.900718";"1.205404";"1.581790";"2.378714";"3.009722";"4.124663";"5.145227";"6.489026";"8.548203";"10.638066";"13.278689";"17.259914";"21.307339";"27.496414";"33.368145";"39.639458";"49.796562";"59.795010";"75.827301";"92.491707";"110.030235";"136.534668";"160.975525";"191.292969";"239.538925";"283.742859";"298.025726";"297.946228";"298.105164";"298.341614";"298.500275";"298.737701";"298.500244";"298.500244";"298.579865";"298.659454";"298.262848";"298.339508";"298.419128";"298.498657";"298.657349";"298.657867";"298.419952";"300.323547"
"R";"0.000000";"0.054399";"0.145261";"0.232554";"0.347684";"0.459869";"0.585427";"0.814247";"1.088413";"1.449703";"2.122815";"2.711520";"3.719535";"4.652663";"5.903188";"7.766750";"9.721794";"12.052996";"15.824157";"19.689421";"25.200035";"30.516882";"36.317215";"45.770813";"55.099491";"70.095184";"85.123993";"101.170250";"125.471893";"147.929337";"175.881805";"219.783371";"261.171326";"273.786682";"273.458893";"273.596832";"273.565948";"273.690857";"273.880249";"273.746948";"273.746948";"273.738312";"273.841827";"273.445404";"273.349701";"273.397125";"273.612793";"273.681641";"273.707672";"273.380096";"274.978241"
"G";"0.000000";"0.046298";"0.133265";"0.215580";"0.333273";"0.449802";"0.578292";"0.793217";"1.052224";"1.401835";"2.059441";"2.634141";"3.638443";"4.574908";"5.799149";"7.595895";"9.496951";"11.738711";"15.397103";"19.049248";"24.469604";"29.619801";"35.527409";"44.526318";"53.391491";"68.039490";"82.852737";"98.620941";"122.201515";"143.897247";"171.440369";"214.125473";"253.956177";"266.514801";"266.421448";"266.593750";"266.569580";"266.703339";"266.825439";"266.700653";"266.700653";"266.810120";"266.914246";"266.583923";"266.266296";"266.373108";"266.471832";"266.608246";"266.685425";"266.491547";"268.052429"
"B";"0.000000";"0.080706";"0.174611";"0.246165";"0.363925";"0.474876";"0.602951";"0.828025";"1.108368";"1.453898";"2.187675";"2.767254";"3.791621";"4.728822";"5.963089";"7.856521";"9.776117";"12.205843";"15.861732";"19.580185";"25.270565";"30.668964";"36.423965";"45.759911";"54.949841";"69.674240";"84.990097";"101.104630";"125.463676";"147.927490";"175.775818";"220.122864";"260.735413";"273.866089";"273.793640";"273.938873";"274.162384";"274.308411";"274.528992";"274.308441";"274.308441";"274.380615";"274.452881";"274.087769";"274.168457";"274.240662";"274.313019";"274.458984";"274.457458";"274.238312";"275.991333"
"ColorTemp";"5454.000000";"11310.000000";"7739.000000";"6747.000000";"6710.000000";"6651.000000";"6647.000000";"6561.000000";"6560.000000";"6477.000000";"6631.000000";"6578.000000";"6579.000000";"6569.000000";"6534.000000";"6537.000000";"6504.000000";"6538.000000";"6482.000000";"6433.000000";"6482.000000";"6493.000000";"6492.000000";"6468.000000";"6450.000000";"6435.000000";"6462.000000";"6468.000000";"6470.000000";"6469.000000";"6469.000000";"6479.000000";"6460.000000";"6472.000000";"6478.000000";"6478.000000";"6483.000000";"6483.000000";"6484.000000";"6482.000000";"6482.000000";"6484.000000";"6483.000000";"6484.000000";"6487.000000";"6487.000000";"6484.000000";"6486.000000";"6486.000000";"6488.000000";"6491.000000"
"DeltaE";"0.000000";"0.100435";"0.126120";"0.090249";"0.092648";"0.077346";"0.078271";"0.103180";"0.165023";"0.147917";"0.387319";"0.394475";"0.438556";"0.419179";"0.404904";"0.580169";"0.555188";"0.861079";"0.732193";"0.744747";"1.000530";"1.191497";"0.923466";"1.109564";"1.260360";"1.153236";"1.347312";"1.416984";"1.641326";"1.838944";"1.779624";"2.162127";"2.186068";"2.310624";"2.323724";"2.314584";"2.398748";"2.402457";"2.433296";"2.401681";"2.401681";"2.391878";"2.380496";"2.372402";"2.503348";"2.492810";"2.479546";"2.484139";"2.458417";"2.455138";"2.511094"
