"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.079059";"0.187284";"0.281793";"0.424601";"0.545897";"0.741699";"1.030939";"1.341811";"1.849241";"2.656515";"3.419653";"4.680370";"5.879545";"7.514756";"9.943754";"12.593847";"15.832381";"20.474470";"24.993914";"32.158813";"38.919342";"46.651871";"60.104622";"72.959686";"91.858543";"110.223335";"130.626617";"163.535309";"194.023239";"230.150436";"286.390869";"341.196289";"358.009521";"358.072327";"358.029144";"358.102692";"358.018280";"362.112061";"362.081696";"362.146576";"362.097504";"361.961121";"362.133759";"362.103363";"362.442780";"362.401550";"362.370361";"365.863007";"365.769806";"365.668762"
"Y";"0.000000";"0.073806";"0.187313";"0.285326";"0.440060";"0.568638";"0.769247";"1.067124";"1.393813";"1.919613";"2.751946";"3.552053";"4.867827";"6.121318";"7.784476";"10.361122";"13.018360";"16.368467";"21.150629";"25.893507";"33.332596";"40.280773";"48.419224";"62.261276";"75.547310";"95.210312";"114.134781";"135.366943";"169.472565";"201.203674";"238.553558";"296.864258";"353.365326";"370.636444";"370.708405";"370.741638";"370.738495";"370.683136";"374.911438";"374.881348";"374.965118";"374.922699";"374.853882";"375.028473";"374.998383";"375.271881";"375.183258";"375.193970";"378.895721";"378.793671";"378.737762"
"Z";"0.000000";"0.121026";"0.235265";"0.340935";"0.498073";"0.630681";"0.861459";"1.190251";"1.542167";"2.157043";"3.095025";"3.966956";"5.405929";"6.826622";"8.656866";"11.383368";"14.437268";"18.211794";"23.528471";"28.766417";"36.625141";"44.480267";"53.369617";"68.448532";"83.445175";"105.110741";"125.429543";"148.998734";"186.378357";"221.218643";"263.036743";"327.633545";"389.219330";"409.290314";"409.290802";"409.291412";"409.369873";"409.369659";"414.130554";"414.051483";"413.894348";"413.894135";"413.815125";"413.974030";"413.894958";"414.211914";"414.211121";"413.895874";"417.786011";"417.706451";"417.627411"
"R";"0.000000";"0.078798";"0.195262";"0.295864";"0.446161";"0.575048";"0.781340";"1.088599";"1.416885";"1.945142";"2.797222";"3.601735";"4.933316";"6.186040";"7.937789";"10.500175";"13.330475";"16.741880";"21.662563";"26.406637";"34.068920";"41.212585";"49.339405";"63.688736";"77.230690";"97.189651";"116.835739";"138.336777";"173.226837";"205.449371";"243.585876";"303.022339";"361.401978";"379.035461";"379.117554";"379.031433";"379.138977";"379.013824";"383.331085";"383.309662";"383.431030";"383.361969";"383.172333";"383.366333";"383.344940";"383.749969";"383.710938";"383.733398";"387.426697";"387.323181";"387.189636"
"G";"0.000000";"0.068508";"0.181640";"0.278735";"0.436133";"0.565202";"0.762585";"1.056455";"1.382840";"1.904191";"2.726245";"3.524588";"4.833715";"6.082903";"7.710075";"10.298820";"12.875601";"16.191460";"20.910810";"25.647184";"33.019604";"39.867996";"48.008751";"61.653339";"74.796303";"94.323441";"112.991554";"134.082275";"167.863434";"199.380051";"236.329788";"294.112518";"349.879211";"366.905182";"366.979675";"367.062195";"367.009277";"366.976074";"371.156921";"371.127289";"371.216980";"371.181091";"371.159515";"371.329163";"371.299530";"371.520355";"371.404602";"371.437714";"375.154419";"375.050323";"375.026062"
"B";"0.000000";"0.112266";"0.216954";"0.313989";"0.457942";"0.579523";"0.791830";"1.093972";"1.417051";"1.982836";"2.845224";"3.645979";"4.967711";"6.273798";"7.955925";"10.457418";"13.267834";"16.737953";"21.624559";"26.436506";"33.649040";"40.872047";"49.035713";"62.888020";"76.676041";"96.581245";"115.239723";"136.897903";"171.237961";"203.244370";"241.684296";"301.044098";"357.619080";"376.087402";"376.085907";"376.084259";"376.159668";"376.160339";"380.537323";"380.463562";"380.313080";"380.313782";"380.239899";"380.385193";"380.311432";"380.604370";"380.606689";"380.308655";"383.877167";"383.804901";"383.731049"
"ColorTemp";"5454.000000";"10235.000000";"7082.000000";"6778.000000";"6616.000000";"6523.000000";"6544.000000";"6492.000000";"6474.000000";"6580.000000";"6563.000000";"6541.000000";"6515.000000";"6557.000000";"6479.000000";"6458.000000";"6436.000000";"6461.000000";"6450.000000";"6473.000000";"6400.000000";"6419.000000";"6437.000000";"6398.000000";"6426.000000";"6434.000000";"6391.000000";"6410.000000";"6405.000000";"6410.000000";"6425.000000";"6432.000000";"6409.000000";"6422.000000";"6421.000000";"6423.000000";"6422.000000";"6424.000000";"6425.000000";"6425.000000";"6421.000000";"6422.000000";"6424.000000";"6423.000000";"6422.000000";"6420.000000";"6421.000000";"6416.000000";"6416.000000";"6416.000000";"6417.000000"
"DeltaE";"0.000000";"0.092365";"0.076469";"0.075438";"0.047447";"0.029952";"0.061523";"0.076579";"0.069101";"0.169157";"0.252107";"0.255497";"0.267309";"0.373934";"0.423696";"0.245042";"0.550446";"0.697194";"0.806268";"0.812613";"0.590258";"0.821394";"0.760191";"0.825280";"1.087338";"1.144200";"1.075743";"1.185071";"1.256582";"1.296031";"1.586270";"1.792232";"1.826820";"2.076043";"2.059980";"2.040232";"2.069008";"2.075297";"2.103637";"2.094527";"2.044581";"2.051874";"2.039231";"2.033875";"2.024927";"2.041283";"2.066924";"1.999093";"1.957244";"1.963897";"1.952310"
