"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.073109";"0.178005";"0.265101";"0.403270";"0.513434";"0.669663";"0.931227";"1.239984";"1.681709";"2.422734";"3.107470";"4.218280";"5.339292";"6.740555";"8.972383";"11.171062";"14.131660";"18.340227";"22.722363";"29.232021";"35.272522";"42.163731";"53.540928";"64.949432";"82.382095";"98.888725";"117.287514";"145.983429";"173.566391";"206.091431";"256.055206";"304.738342";"320.305115";"320.518036";"320.466064";"320.523926";"320.425781";"322.636566";"322.683594";"322.639465";"322.702271";"322.680695";"322.552155";"322.552155";"322.552155";"322.384399";"322.433472";"322.421783";"325.328735";"325.319946"
"Y";"0.000000";"0.067515";"0.177184";"0.267986";"0.416045";"0.534632";"0.699070";"0.966141";"1.282065";"1.745756";"2.511419";"3.219527";"4.396941";"5.561866";"7.018021";"9.332376";"11.621276";"14.629539";"18.943281";"23.524479";"30.278114";"36.590706";"43.799297";"55.482372";"67.288399";"85.366173";"102.499023";"121.691391";"151.326019";"179.812103";"213.892181";"265.590668";"315.735107";"331.759827";"331.930176";"331.916687";"332.005859";"331.920959";"334.229828";"334.260468";"334.200836";"334.272827";"334.289429";"334.174469";"334.174469";"334.174469";"333.849060";"333.891510";"333.873779";"336.996948";"336.950256"
"Z";"0.000000";"0.115160";"0.230794";"0.321635";"0.480182";"0.596927";"0.785191";"1.104769";"1.449115";"1.954360";"2.830854";"3.633866";"4.928071";"6.247431";"7.896630";"10.328241";"12.933139";"16.307203";"21.147392";"26.226410";"33.449501";"40.669876";"48.290676";"61.304302";"74.476936";"94.317390";"113.362823";"134.236664";"167.247635";"198.594482";"235.739044";"294.059814";"348.977295";"367.383698";"367.463470";"367.384674";"367.464294";"367.463806";"369.845673";"370.003540";"369.924194";"369.924713";"369.925018";"369.845459";"369.845459";"369.845459";"369.763702";"369.763947";"369.606018";"373.098053";"373.018707"
"R";"0.000000";"0.072309";"0.184070";"0.278267";"0.422618";"0.539968";"0.701966";"0.975009";"1.305411";"1.770744";"2.548393";"3.268504";"4.428647";"5.604368";"7.074019";"9.465943";"11.766117";"14.923462";"19.387291";"23.993433";"30.935774";"37.230320";"44.565048";"56.642647";"68.689964";"87.158295";"104.574516";"124.043037";"154.398514";"183.673615";"217.973755";"270.577606";"322.398071";"338.756958";"339.041687";"338.977234";"339.024658";"338.886505";"341.256866";"341.286682";"341.252258";"341.334351";"341.291290";"341.131714";"341.131714";"341.131714";"340.980164";"341.049255";"341.075531";"344.070038";"344.091675"
"G";"0.000000";"0.062212";"0.171382";"0.261530";"0.411251";"0.531342";"0.695968";"0.958345";"1.268619";"1.731649";"2.489126";"3.189938";"4.373065";"5.529599";"6.975266";"9.266819";"11.542059";"14.484309";"18.727972";"23.292027";"29.983232";"36.274227";"43.452766";"54.958557";"66.644745";"84.558083";"101.548790";"120.636063";"149.929611";"178.082275";"212.074203";"263.253906";"312.721649";"328.537628";"328.672272";"328.683899";"328.790710";"328.718903";"331.014801";"331.035492";"330.967285";"331.041748";"331.083038";"330.981598";"330.981598";"330.981598";"330.566132";"330.602051";"330.578674";"333.744324";"333.673431"
"B";"0.000000";"0.106903";"0.213011";"0.296252";"0.441736";"0.548602";"0.721703";"1.015994";"1.332364";"1.796354";"2.602491";"3.340864";"4.529472";"5.742495";"7.258773";"9.490167";"11.885332";"14.987863";"19.437920";"24.104622";"30.736034";"37.375477";"44.368874";"56.331032";"68.438293";"86.665855";"104.168442";"123.339012";"153.679932";"182.482468";"216.595383";"270.214111";"320.670227";"337.601562";"337.673187";"337.598633";"337.670837";"337.672272";"339.856659";"340.004944";"339.931946";"339.930450";"339.929657";"339.857330";"339.857330";"339.857330";"339.791260";"339.790558";"339.642334";"342.850159";"342.777222"
"ColorTemp";"5454.000000";"11140.000000";"7399.000000";"6796.000000";"6716.000000";"6567.000000";"6641.000000";"6708.000000";"6578.000000";"6552.000000";"6587.000000";"6591.000000";"6607.000000";"6617.000000";"6624.000000";"6490.000000";"6533.000000";"6489.000000";"6475.000000";"6491.000000";"6431.000000";"6492.000000";"6449.000000";"6437.000000";"6447.000000";"6436.000000";"6447.000000";"6439.000000";"6443.000000";"6431.000000";"6436.000000";"6462.000000";"6438.000000";"6448.000000";"6444.000000";"6444.000000";"6445.000000";"6447.000000";"6444.000000";"6446.000000";"6445.000000";"6444.000000";"6445.000000";"6446.000000";"6446.000000";"6446.000000";"6447.000000";"6446.000000";"6443.000000";"6447.000000";"6445.000000"
"DeltaE";"0.000000";"0.105199";"0.102507";"0.083506";"0.075736";"0.041963";"0.066533";"0.146427";"0.152224";"0.154032";"0.273789";"0.363904";"0.376549";"0.485198";"0.602329";"0.390357";"0.566503";"0.728560";"0.905408";"0.938474";"0.753733";"1.012842";"0.753721";"0.991424";"1.162505";"1.193973";"1.334419";"1.247740";"1.519816";"1.611501";"1.494766";"2.016380";"2.067349";"2.286595";"2.269316";"2.247680";"2.238674";"2.257859";"2.219919";"2.252022";"2.250960";"2.231464";"2.220945";"2.228923";"2.228923";"2.228923";"2.318152";"2.308516";"2.276842";"2.275074";"2.274438"
