"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.104984";"0.260987";"0.415106";"0.735026";"1.061453";"1.535730";"2.199443";"3.092789";"4.229640";"6.232614";"8.193695";"11.717414";"15.311852";"19.799995";"26.181126";"32.690697";"40.622425";"53.005199";"66.800041";"87.289253";"106.048950";"127.270485";"162.511993";"195.955353";"247.444016";"300.031708";"359.507507";"450.075928";"534.597046";"635.552429";"793.140320";"946.325012";"990.606689";"990.944763";"991.059326";"991.641846";"989.497986";"989.894104";"990.105896";"990.443359";"990.490356";"990.620728";"990.659912";"989.927917";"985.787903";"984.660889";"984.780640";"984.772766";"985.044495";"984.950134"
"Y";"0.000000";"0.103517";"0.269516";"0.435188";"0.765416";"1.103662";"1.613507";"2.294641";"3.220073";"4.410159";"6.483507";"8.523684";"12.108138";"15.833389";"20.453318";"27.091982";"33.711975";"41.991219";"54.825397";"69.085892";"90.385704";"109.701294";"131.787567";"168.108185";"202.871780";"256.351288";"310.682526";"372.425262";"466.088623";"553.270813";"658.082825";"820.663147";"978.692200";"1024.537354";"1025.065796";"1025.325195";"1025.973022";"1023.759766";"1024.203491";"1024.454834";"1024.850220";"1024.880859";"1025.181519";"1025.258301";"1024.204102";"1019.770691";"1018.632874";"1018.701172";"1018.747314";"1019.099670";"1019.078674"
"Z";"0.000000";"0.138285";"0.299059";"0.466956";"0.840328";"1.197451";"1.738429";"2.477852";"3.458248";"4.798683";"7.116748";"9.309355";"13.280259";"17.182804";"22.261745";"29.405277";"36.784618";"45.753475";"59.485191";"75.277122";"97.978958";"119.325729";"143.373901";"182.660446";"220.439331";"277.747406";"337.031830";"404.175995";"507.658417";"603.839722";"718.599121";"897.237305";"1068.509399";"1120.875366";"1121.747437";"1122.144165";"1122.937500";"1120.240967";"1120.875000";"1121.192383";"1121.510742";"1121.668701";"1121.908081";"1122.066528";"1121.742554";"1117.216187";"1116.025635";"1116.025757";"1116.026367";"1116.265625";"1116.423706"
"R";"0.000000";"0.108362";"0.276381";"0.439479";"0.776602";"1.126159";"1.621902";"2.331630";"3.287602";"4.476225";"6.589790";"8.675024";"12.442871";"16.299356";"21.073711";"27.856474";"34.806610";"43.205151";"56.417568";"71.024651";"92.868896";"112.793304";"135.273834";"172.897461";"208.370132";"263.214722";"319.142242";"382.266418";"478.204224";"567.916199";"674.861816";"842.291809";"1005.648132";"1052.088745";"1052.260132";"1052.264038";"1052.832642";"1050.622803";"1050.984375";"1051.178101";"1051.536133";"1051.565918";"1051.622070";"1051.621826";"1050.822388";"1046.439209";"1045.210938";"1045.392212";"1045.362183";"1045.642578";"1045.448120"
"G";"0.000000";"0.099523";"0.266390";"0.434096";"0.760508";"1.095289";"1.611786";"2.282006";"3.197838";"4.384818";"6.437567";"8.462648";"11.970295";"15.657314";"20.213299";"26.803089";"33.280785";"41.517574";"54.225040";"68.329216";"89.458321";"108.511627";"130.445038";"166.281525";"200.776138";"253.802277";"307.503693";"368.717468";"461.374695";"547.471680";"651.403625";"811.968811";"967.996277";"1013.408386";"1014.051086";"1014.400208";"1015.071594";"1012.880615";"1013.343750";"1013.613892";"1014.033020";"1014.053711";"1014.456665";"1014.557190";"1013.335876";"1008.858093";"1007.751404";"1007.781921";"1007.861816";"1008.253967";"1008.285400"
"B";"0.000000";"0.127713";"0.274843";"0.428665";"0.771967";"1.099732";"1.595990";"2.275233";"3.175118";"4.407200";"6.537886";"8.551045";"12.201195";"15.782163";"20.449005";"27.008108";"33.792450";"42.028519";"54.635750";"69.147980";"89.987579";"109.604828";"131.692200";"167.775330";"202.472855";"255.088196";"309.548553";"371.218719";"466.309174";"554.691223";"660.113037";"824.248291";"981.560303";"1029.718628";"1030.523682";"1030.888428";"1031.618408";"1029.134644";"1029.720093";"1030.012085";"1030.301025";"1030.449341";"1030.664307";"1030.811035";"1030.538086";"1026.390015";"1025.296997";"1025.296387";"1025.294800";"1025.510010";"1025.658081"
"ColorTemp";"5454.000000";"7556.000000";"6429.000000";"6363.000000";"6446.000000";"6348.000000";"6414.000000";"6353.000000";"6294.000000";"6398.000000";"6434.000000";"6399.000000";"6354.000000";"6289.000000";"6298.000000";"6298.000000";"6296.000000";"6313.000000";"6291.000000";"6318.000000";"6297.000000";"6309.000000";"6321.000000";"6302.000000";"6311.000000";"6299.000000";"6302.000000";"6309.000000";"6330.000000";"6337.000000";"6346.000000";"6347.000000";"6332.000000";"6346.000000";"6350.000000";"6352.000000";"6353.000000";"6352.000000";"6353.000000";"6354.000000";"6353.000000";"6354.000000";"6355.000000";"6356.000000";"6358.000000";"6358.000000";"6359.000000";"6358.000000";"6358.000000";"6358.000000";"6360.000000"
"DeltaE";"0.000000";"0.022774";"0.006302";"0.006684";"0.008646";"0.011959";"0.017522";"0.026353";"0.054997";"0.033672";"0.076537";"0.082035";"0.189434";"0.221220";"0.268754";"0.305219";"0.398713";"0.398682";"0.470257";"0.503592";"0.582820";"0.631126";"0.645207";"0.779256";"0.806300";"0.921545";"0.991382";"1.032943";"1.092222";"1.215918";"1.268437";"1.464087";"1.589466";"1.650842";"1.642745";"1.633636";"1.632372";"1.623477";"1.624627";"1.623107";"1.616378";"1.621203";"1.604727";"1.603624";"1.652347";"1.672761";"1.671512";"1.673799";"1.667624";"1.657127";"1.656482"
