"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.045970";"0.120692";"0.191924";"0.291871";"0.384956";"0.500540";"0.710032";"0.964649";"1.279656";"1.907576";"2.446728";"3.394540";"4.282216";"5.404302";"7.143132";"8.927158";"11.270804";"14.707447";"18.213760";"23.552307";"28.436575";"33.957382";"42.771954";"51.557949";"65.713661";"80.020638";"95.143219";"118.095772";"139.528946";"166.394028";"207.734207";"246.875793";"258.928711";"258.907104";"258.846039";"259.004944";"259.093170";"259.191345";"259.293304";"259.351166";"259.156921";"259.315826";"259.068390";"259.117462";"259.004730";"259.030151";"259.153717";"258.866302";"258.976135";"258.936951"
"Y";"0.000000";"0.041700";"0.117921";"0.191664";"0.298638";"0.397797";"0.519328";"0.737012";"0.994687";"1.327245";"1.977655";"2.522670";"3.501011";"4.450147";"5.641869";"7.393916";"9.262689";"11.638557";"15.242463";"18.840111";"24.396324";"29.459959";"35.196693";"44.454109";"53.292313";"68.117249";"82.959465";"98.724571";"122.446213";"144.516586";"172.512527";"215.408310";"255.798767";"268.231750";"268.248352";"268.228455";"268.373535";"268.492767";"268.577637";"268.726410";"268.815582";"268.657593";"268.802673";"268.578644";"268.621094";"268.547455";"268.594727";"268.726868";"268.466827";"268.569458";"268.492645"
"Z";"0.000000";"0.069785";"0.155476";"0.226408";"0.341064";"0.446296";"0.570927";"0.811945";"1.105263";"1.483053";"2.243638";"2.829547";"3.889660";"4.885202";"6.295978";"8.222639";"10.266013";"12.932850";"16.863520";"20.910192";"26.863306";"32.576401";"39.003963";"48.768425";"58.764919";"75.034782";"91.146339";"108.842018";"135.030106";"159.708115";"190.106339";"237.720276";"282.319031";"296.205566";"296.205872";"296.521454";"296.680084";"296.838776";"296.839264";"296.998230";"297.077820";"296.919220";"297.077850";"297.234283";"297.234528";"296.997589";"297.155762";"297.314423";"297.076233";"297.234619";"297.076172"
"R";"0.000000";"0.046400";"0.125848";"0.203924";"0.308395";"0.406256";"0.529865";"0.750991";"1.022102";"1.348845";"2.002696";"2.585911";"3.596363";"4.530334";"5.675209";"7.548786";"9.428864";"11.931259";"15.552910";"19.266991";"24.946657";"30.082516";"35.890640";"45.255184";"54.660984";"69.565704";"84.764038";"100.632851";"124.961006";"147.650894";"176.108353";"219.752533";"261.277588";"274.027222";"273.984161";"273.806458";"273.987457";"274.056305";"274.194489";"274.276337";"274.323761";"274.086700";"274.267700";"273.882996";"273.952087";"273.844788";"273.831543";"273.956451";"273.615906";"273.727783";"273.728027"
"G";"0.000000";"0.037860";"0.112606";"0.185441";"0.293539";"0.393429";"0.514790";"0.730809";"0.982216";"1.315739";"1.960490";"2.491296";"3.457602";"4.415771";"5.616349";"7.319646";"9.183341";"11.503491";"15.099998";"18.641771";"24.158089";"29.177235";"34.871330";"44.113300";"52.700325";"67.483864";"82.192009";"97.873199";"121.329880";"143.106430";"170.930435";"213.461044";"253.360046";"265.641327";"265.682587";"265.696136";"265.827179";"265.963593";"266.035370";"266.210388";"266.317200";"266.188843";"266.319885";"266.125183";"266.161072";"266.113464";"266.175415";"266.309143";"266.076691";"266.171844";"266.071320"
"B";"0.000000";"0.064778";"0.143572";"0.208505";"0.313718";"0.410267";"0.524532";"0.745999";"1.015828";"1.363106";"2.062971";"2.601202";"3.574893";"4.487934";"5.785960";"7.556955";"9.433720";"11.886080";"15.495954";"19.216619";"24.682041";"29.934381";"35.842312";"44.801720";"53.997173";"68.941917";"83.739441";"100.004410";"124.068550";"146.753754";"174.670792";"218.426178";"259.409088";"272.173523";"272.172729";"272.469849";"272.615906";"272.761871";"272.760437";"272.905609";"272.977844";"272.831726";"272.977783";"273.130402";"273.129669";"272.907593";"273.055054";"273.201080";"272.982697";"273.129486";"272.982788"
"ColorTemp";"5454.000000";"10114.000000";"7271.000000";"6511.000000";"6536.000000";"6516.000000";"6415.000000";"6435.000000";"6422.000000";"6529.000000";"6638.000000";"6489.000000";"6423.000000";"6423.000000";"6592.000000";"6471.000000";"6473.000000";"6438.000000";"6448.000000";"6449.000000";"6408.000000";"6440.000000";"6461.000000";"6420.000000";"6395.000000";"6419.000000";"6402.000000";"6436.000000";"6430.000000";"6433.000000";"6424.000000";"6436.000000";"6428.000000";"6430.000000";"6431.000000";"6441.000000";"6440.000000";"6442.000000";"6439.000000";"6440.000000";"6441.000000";"6443.000000";"6442.000000";"6453.000000";"6452.000000";"6450.000000";"6453.000000";"6454.000000";"6457.000000";"6457.000000";"6454.000000"
"DeltaE";"0.000000";"0.078065";"0.092695";"0.066041";"0.058734";"0.049007";"0.028293";"0.043235";"0.095072";"0.139282";"0.317731";"0.315572";"0.318373";"0.191156";"0.451768";"0.517732";"0.498488";"0.684525";"0.625151";"0.818533";"0.666413";"0.855398";"0.999505";"0.648304";"1.079311";"1.047200";"1.021642";"1.223346";"1.386121";"1.666358";"1.547693";"1.784409";"1.960424";"2.053903";"2.040300";"2.125424";"2.129493";"2.131730";"2.108874";"2.098656";"2.087388";"2.082417";"2.086468";"2.197742";"2.185564";"2.130687";"2.158152";"2.161504";"2.168233";"2.184256";"2.168861"
