"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.090101";"0.231091";"0.374531";"0.689925";"1.012937";"1.478143";"2.152333";"3.029788";"4.178695";"6.227002";"8.205764";"11.766838";"15.379625";"19.933481";"26.407804";"32.949814";"41.209270";"53.897038";"67.979309";"88.522552";"107.737366";"129.399231";"165.897400";"200.091080";"252.318558";"306.285339";"367.174103";"459.899292";"546.446045";"650.653931";"813.055969";"949.650635";"993.403198";"994.432678";"995.085632";"994.969604";"1001.472595";"1001.944336";"1002.234436";"1001.676208";"1006.104553";"1006.338867";"1006.616394";"1011.895020";"1011.992004";"1017.461670";"1017.686279";"1017.972595";"1022.348022";"1022.427490"
"Y";"0.000000";"0.088823";"0.239440";"0.392458";"0.716758";"1.050553";"1.552773";"2.251810";"3.156724";"4.336326";"6.429388";"8.524290";"12.147228";"15.888188";"20.551111";"27.291840";"33.953720";"42.488728";"55.676353";"70.196877";"91.521957";"111.289345";"134.012589";"171.504929";"206.800552";"261.061646";"316.777802";"379.826019";"475.772949";"565.112488";"672.781677";"840.546753";"981.386597";"1026.703613";"1027.889648";"1028.737183";"1028.599243";"1035.317871";"1035.770264";"1036.175293";"1035.655762";"1040.308350";"1040.635986";"1040.930420";"1046.385620";"1046.551636";"1052.234131";"1052.422119";"1052.763184";"1057.309448";"1057.382080"
"Z";"0.000000";"0.117037";"0.262914";"0.418874";"0.771984";"1.120725";"1.663497";"2.421315";"3.382787";"4.715409";"6.981891";"9.175996";"13.147256";"17.104214";"22.262205";"29.485321";"36.786098";"45.914021";"60.042667";"76.072792";"98.695770";"120.518738";"145.124161";"185.443329";"224.092300";"281.800049";"342.513306";"410.296448";"516.239563";"614.249756";"732.496521";"914.404236";"1068.050537";"1117.494385";"1119.238281";"1120.348999";"1120.663574";"1127.649658";"1128.204590";"1128.838867";"1128.441284";"1133.442017";"1133.838989";"1134.235352";"1140.266479";"1140.504639";"1147.089478";"1147.327271";"1147.802979";"1152.645020";"1152.724365"
"R";"0.000000";"0.093423";"0.244915";"0.397207";"0.733803";"1.081206";"1.563636";"2.280320";"3.221105";"4.436131";"6.633570";"8.729311";"12.547505";"16.416117";"21.267954";"28.154224";"35.165051";"43.994896";"57.504581";"72.452240";"94.400230";"114.824554";"137.693207";"176.795639";"213.146637";"268.880219";"326.320465";"391.243958";"489.448395";"581.406921";"692.035950";"865.057434";"1010.514893";"1056.975342";"1057.878784";"1058.416870";"1058.187134";"1065.190308";"1065.698608";"1065.891968";"1065.219238";"1069.899048";"1070.084229";"1070.355469";"1075.948364";"1075.995605";"1081.695312";"1081.953857";"1082.203369";"1086.870483";"1086.960938"
"G";"0.000000";"0.085358";"0.237134";"0.391316";"0.710845";"1.040574";"1.550820";"2.243285";"3.136247";"4.298119";"6.351700";"8.453480";"11.998436";"15.699472";"20.282398";"26.976294";"33.498837";"41.933086";"55.014820";"69.351463";"90.484138";"109.971863";"132.650162";"169.559204";"204.427338";"258.230652";"313.273895";"375.666016";"470.615570";"558.878235";"665.315430";"831.103760";"970.127380";"1014.992371";"1016.250793";"1017.203125";"1017.062317";"1023.697815";"1024.123291";"1024.594482";"1024.120605";"1028.768066";"1029.147827";"1029.444824";"1034.839233";"1035.046509";"1040.689453";"1040.847534";"1041.215454";"1045.723877";"1045.789429"
"B";"0.000000";"0.108060";"0.241547";"0.384475";"0.708860";"1.028858";"1.526972";"2.222966";"3.105619";"4.331001";"6.413042";"8.425585";"12.075082";"15.706968";"20.447609";"27.078976";"33.788074";"42.168858";"55.140327";"69.870926";"90.636101";"110.690712";"133.283630";"170.311737";"205.819519";"258.791016";"314.562683";"376.803986";"474.153259";"564.201904";"672.844543";"839.923401";"981.071350";"1026.489868";"1028.100342";"1029.122192";"1029.422363";"1035.831787";"1036.343750";"1036.929077";"1036.566895";"1041.157471";"1041.521729";"1041.887451";"1047.429688";"1047.648560";"1053.706177";"1053.926025";"1054.364746";"1058.809570";"1058.882568"
"ColorTemp";"5454.000000";"7392.000000";"6392.000000";"6323.000000";"6290.000000";"6209.000000";"6374.000000";"6355.000000";"6288.000000";"6342.000000";"6277.000000";"6285.000000";"6253.000000";"6225.000000";"6244.000000";"6253.000000";"6240.000000";"6229.000000";"6236.000000";"6265.000000";"6245.000000";"6264.000000";"6292.000000";"6262.000000";"6274.000000";"6260.000000";"6267.000000";"6263.000000";"6293.000000";"6301.000000";"6311.000000";"6303.000000";"6302.000000";"6303.000000";"6307.000000";"6310.000000";"6313.000000";"6311.000000";"6311.000000";"6313.000000";"6315.000000";"6315.000000";"6316.000000";"6317.000000";"6317.000000";"6319.000000";"6321.000000";"6321.000000";"6322.000000";"6321.000000";"6321.000000"
"DeltaE";"0.000000";"0.017551";"0.003366";"0.007817";"0.011019";"0.025002";"0.024743";"0.030219";"0.056826";"0.048934";"0.100310";"0.134839";"0.200785";"0.283465";"0.311309";"0.361329";"0.435904";"0.513273";"0.584570";"0.585312";"0.728427";"0.733464";"0.703859";"0.898687";"0.931524";"1.100057";"1.149614";"1.266872";"1.220582";"1.290792";"1.369776";"1.523079";"1.646047";"1.664255";"1.648885";"1.632068";"1.630210";"1.636988";"1.639963";"1.629424";"1.622943";"1.619496";"1.611819";"1.610937";"1.614085";"1.608079";"1.608006";"1.611995";"1.608075";"1.609005";"1.609902"
