"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.021346";"0.074002";"0.127121";"0.218172";"0.310765";"0.434909";"0.624789";"0.869848";"1.197109";"1.788105";"2.320365";"3.217586";"4.081339";"5.217662";"6.958748";"8.698401";"11.023855";"14.407413";"17.932425";"23.188622";"28.056252";"33.524162";"42.423981";"51.078636";"65.229607";"79.273735";"94.456360";"117.475548";"138.608856";"165.566956";"206.744507";"245.936386";"258.143707";"258.020142";"258.160339";"257.999390";"258.216156";"258.246521";"258.029755";"257.668579";"257.836273";"257.845062";"257.924500";"258.020599";"258.034332";"258.122559";"258.180420";"258.325592";"258.345123";"258.416718"
"Y";"0.000000";"0.020953";"0.072740";"0.127260";"0.221161";"0.319886";"0.447995";"0.644590";"0.892991";"1.225578";"1.844491";"2.391961";"3.314044";"4.225424";"5.422246";"7.178964";"9.023754";"11.359895";"14.871839";"18.481842";"23.994503";"29.057585";"34.687988";"43.959980";"52.845833";"67.514015";"82.184250";"97.742737";"121.600243";"143.567276";"171.397995";"214.218475";"254.703949";"267.526154";"267.394012";"267.526703";"267.369873";"267.604065";"267.634155";"267.399933";"266.875793";"267.067566";"267.114258";"267.186798";"267.259888";"267.289398";"267.408630";"267.497803";"267.613312";"267.584900";"267.703583"
"Z";"0.000000";"0.030928";"0.091516";"0.146263";"0.249311";"0.348264";"0.486949";"0.701331";"0.982390";"1.341370";"2.025193";"2.639907";"3.641997";"4.636132";"5.914287";"7.870543";"9.867697";"12.457851";"16.387491";"20.355331";"26.150589";"31.784878";"38.053726";"48.054585";"57.736732";"73.768196";"89.563560";"107.019958";"133.367020";"157.256516";"188.046799";"235.187408";"279.392578";"292.730621";"292.571960";"292.809418";"292.808411";"293.046661";"293.125732";"292.887482";"292.883301";"293.121307";"293.200684";"293.279999";"293.438110";"293.438385";"293.597076";"293.676697";"293.835052";"293.992401";"294.072266"
"R";"0.000000";"0.021355";"0.077973";"0.135896";"0.232686";"0.331447";"0.463851";"0.665560";"0.926669";"1.279201";"1.900321";"2.463533";"3.421850";"4.328541";"5.529642";"7.397932";"9.222079";"11.726805";"15.290298";"19.052053";"24.645844";"29.773306";"35.568657";"45.014458";"54.257500";"69.270226";"84.158638";"100.264618";"124.618561";"147.030243";"175.606812";"219.118515";"260.795837";"273.811066";"273.686157";"273.819458";"273.599182";"273.827606";"273.849030";"273.620605";"273.188110";"273.347443";"273.325806";"273.416290";"273.515167";"273.528198";"273.597046";"273.644470";"273.812439";"273.816223";"273.876678"
"G";"0.000000";"0.020126";"0.069691";"0.123271";"0.215984";"0.315402";"0.441912";"0.636496";"0.879089";"1.204194";"1.821435";"2.361261";"3.269438";"4.182501";"5.379741";"7.089552";"8.943333";"11.210182";"14.693409";"18.241446";"23.739775";"28.767874";"34.322853";"43.535278";"52.281929";"66.811485";"81.411865";"96.715263";"120.349648";"142.146637";"169.647720";"212.157578";"252.170425";"264.969299";"264.835571";"264.960358";"264.814087";"265.051941";"265.081573";"264.843719";"264.237152";"264.439087";"264.510010";"264.575531";"264.632111";"264.670685";"264.807098";"264.913910";"265.006378";"264.949890";"265.095245"
"B";"0.000000";"0.028621";"0.084419";"0.134605";"0.229285";"0.319927";"0.447303";"0.644230";"0.902737";"1.232508";"1.860745";"2.425889";"3.346425";"4.259334";"5.432439";"7.231159";"9.064618";"11.446109";"15.058007";"18.704201";"24.021305";"29.199123";"34.961136";"44.144154";"53.039078";"67.765831";"82.268158";"98.317581";"122.526871";"144.468277";"172.763428";"216.073181";"256.682098";"268.915833";"268.769806";"268.990356";"268.993286";"269.211548";"269.285309";"269.067017";"269.079132";"269.298126";"269.371063";"269.444092";"269.591644";"269.590881";"269.736847";"269.809052";"269.955902";"270.105713";"270.177155"
"ColorTemp";"5454.000000";"8945.000000";"6867.000000";"6326.000000";"6330.000000";"6261.000000";"6258.000000";"6281.000000";"6302.000000";"6236.000000";"6342.000000";"6371.000000";"6331.000000";"6378.000000";"6378.000000";"6333.000000";"6377.000000";"6322.000000";"6374.000000";"6354.000000";"6325.000000";"6361.000000";"6370.000000";"6362.000000";"6341.000000";"6346.000000";"6346.000000";"6358.000000";"6373.000000";"6371.000000";"6376.000000";"6391.000000";"6380.000000";"6370.000000";"6369.000000";"6371.000000";"6375.000000";"6375.000000";"6376.000000";"6376.000000";"6384.000000";"6385.000000";"6387.000000";"6387.000000";"6388.000000";"6388.000000";"6389.000000";"6390.000000";"6390.000000";"6392.000000";"6393.000000"
"DeltaE";"0.000000";"0.026679";"0.043417";"0.031901";"0.037597";"0.022229";"0.030527";"0.040350";"0.074873";"0.106600";"0.124554";"0.188721";"0.234703";"0.218621";"0.181002";"0.361982";"0.293013";"0.499294";"0.604674";"0.703310";"0.560052";"0.597734";"0.729323";"0.693113";"0.818868";"0.889497";"0.860372";"1.087412";"1.218765";"1.218896";"1.404907";"1.500629";"1.599013";"1.473124";"1.472664";"1.487315";"1.504820";"1.499898";"1.506485";"1.511468";"1.645328";"1.645265";"1.639301";"1.642302";"1.664501";"1.654163";"1.651454";"1.639748";"1.656063";"1.706311";"1.683965"
