"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.087913";"0.227400";"0.368730";"0.685197";"1.004865";"1.474541";"2.142208";"3.013055";"4.148097";"6.178646";"8.146173";"11.652547";"15.237358";"19.730461";"26.146927";"32.650703";"40.803226";"53.255535";"67.373146";"87.847778";"106.843773";"128.387024";"164.378113";"198.287247";"250.040070";"303.597839";"363.954926";"455.955353";"539.286133";"629.040894";"760.099365";"883.987183";"919.619202";"939.945496";"939.629456";"938.836914";"937.910889";"934.200195";"932.823975";"948.487549";"945.370361";"944.409180";"941.765320";"940.885498";"954.071350";"952.313904";"950.923157";"950.062805";"948.661194";"960.001953"
"Y";"0.000000";"0.086717";"0.235099";"0.387028";"0.711147";"1.039631";"1.544213";"2.236759";"3.142829";"4.304526";"6.375868";"8.435081";"12.015389";"15.743684";"20.346434";"26.998011";"33.675961";"42.079372";"55.020432";"69.553864";"90.864929";"110.386307";"132.960236";"169.987305";"204.993912";"258.831635";"314.033783";"376.528687";"471.683258";"557.656189";"650.716003";"786.084900";"913.417664";"950.279724";"971.544556";"971.306519";"970.459351";"969.514465";"965.967102";"964.553223";"980.704102";"977.555542";"976.423767";"973.873474";"973.000000";"986.780090";"984.870972";"983.468323";"982.566345";"981.105225";"992.856445"
"Z";"0.000000";"0.114287";"0.257581";"0.410809";"0.765086";"1.112529";"1.648562";"2.410760";"3.358186";"4.687969";"6.919381";"9.088168";"13.032542";"17.024387";"22.024229";"29.167734";"36.389996";"45.438068";"59.407303";"75.437401";"97.902794";"119.645157";"144.012817";"183.777008";"222.266327";"279.340515";"339.655548";"406.961731";"512.031677";"606.311890";"708.213806";"856.461121";"995.186401";"1036.133667";"1058.835938";"1058.834717";"1058.040161";"1057.245117";"1053.515625";"1052.165283";"1069.626099";"1066.450317";"1065.337769";"1061.693237";"1060.819824";"1075.741577";"1073.519897";"1071.933105";"1071.217163";"1069.708618";"1082.959839"
"R";"0.000000";"0.091112";"0.241476";"0.391223";"0.729431";"1.073311";"1.564281";"2.270967";"3.203557";"4.401870";"6.585434";"8.680999";"12.427269";"16.243525";"21.052540";"27.891373";"34.850746";"43.564068";"56.797653";"71.801384";"93.676506";"113.833122";"136.611526";"175.149567";"211.155380";"266.385254";"323.407135";"387.735565";"485.198883";"573.779297";"668.935425";"808.203247";"940.432556";"978.113281";"999.690186";"999.232605";"998.374756";"997.322632";"993.159485";"991.642151";"1008.361877";"1004.935364";"1003.969849";"1001.261841";"1000.283447";"1014.236511";"1012.461609";"1010.975159";"1010.000488";"1008.496399";"1020.426941"
"G";"0.000000";"0.083370";"0.232493";"0.386279";"0.704817";"1.028169";"1.539148";"2.225539";"3.124553";"4.266681";"6.296438";"8.347617";"11.859707";"15.559471";"20.083138";"26.670237";"33.243004";"41.534565";"54.372189";"68.706139";"89.859421";"109.094078";"131.606323";"168.092590";"202.680710";"256.106110";"310.584839";"372.429504";"466.567657";"551.473511";"643.672668";"777.458252";"902.884033";"939.361633";"960.542725";"960.368652";"959.515137";"958.592468";"955.273315";"953.883911";"969.824402";"966.762878";"965.556641";"963.139282";"962.300110";"976.020020";"974.070496";"972.705322";"971.809631";"970.358276";"982.002319"
"B";"0.000000";"0.105520";"0.236644";"0.377006";"0.702518";"1.021461";"1.513203";"2.213487";"3.082739";"4.305968";"6.355582";"8.345599";"11.970624";"15.635427";"20.228565";"26.787716";"33.421482";"41.730770";"54.558441";"69.289085";"89.905167";"109.890503";"132.263702";"168.779877";"204.144577";"256.528900";"311.940125";"373.746307";"470.294037";"556.915649";"650.528442";"786.725891";"914.169128";"951.800720";"972.639282";"972.642822";"971.916443";"971.191467";"967.763794";"966.527771";"982.564453";"979.651978";"978.635254";"975.263855";"974.462891";"988.165039";"986.122375";"984.662842";"984.011658";"982.628174";"994.810608"
"ColorTemp";"5454.000000";"7403.000000";"6352.000000";"6305.000000";"6272.000000";"6203.000000";"6318.000000";"6349.000000";"6281.000000";"6352.000000";"6267.000000";"6256.000000";"6255.000000";"6257.000000";"6242.000000";"6243.000000";"6233.000000";"6226.000000";"6246.000000";"6267.000000";"6245.000000";"6271.000000";"6293.000000";"6265.000000";"6281.000000";"6264.000000";"6270.000000";"6267.000000";"6296.000000";"6302.000000";"6313.000000";"6317.000000";"6308.000000";"6313.000000";"6313.000000";"6316.000000";"6316.000000";"6318.000000";"6322.000000";"6324.000000";"6322.000000";"6325.000000";"6324.000000";"6320.000000";"6321.000000";"6322.000000";"6320.000000";"6320.000000";"6322.000000";"6322.000000";"6325.000000"
"DeltaE";"0.000000";"0.018262";"0.003692";"0.010247";"0.012686";"0.024910";"0.032578";"0.029007";"0.067359";"0.050759";"0.110103";"0.154143";"0.211169";"0.255600";"0.324658";"0.387471";"0.460016";"0.534230";"0.575670";"0.598095";"0.757701";"0.730645";"0.718615";"0.911592";"0.927216";"1.110279";"1.158453";"1.267376";"1.237180";"1.318481";"1.355585";"1.472329";"1.639778";"1.658070";"1.648571";"1.639122";"1.641003";"1.639079";"1.609252";"1.607870";"1.622199";"1.613767";"1.626588";"1.606383";"1.602245";"1.597478";"1.605268";"1.601165";"1.601166";"1.601264";"1.606881"
