"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.133790";"0.314412";"0.491029";"0.846091";"1.194171";"1.704668";"2.419625";"3.350787";"4.552227";"6.689186";"8.685298";"12.409669";"16.228806";"20.788544";"27.421772";"33.971424";"42.261257";"54.730202";"69.038017";"89.779320";"108.942787";"130.565704";"166.325684";"200.227142";"252.208023";"304.957397";"365.256042";"456.498108";"542.212036";"644.621460";"807.283752";"962.381958";"1011.010010";"1009.983521";"1006.709351";"1007.347656";"1007.774170";"1008.347900";"1006.511597";"1006.615540";"1006.814453";"1005.014648";"1004.904846";"1004.855774";"1005.119507";"1005.089172";"1005.032227";"1005.157837";"1005.241150";"1009.458557"
"Y";"0.000000";"0.130721";"0.323058";"0.512064";"0.879354";"1.236529";"1.780361";"2.527898";"3.494594";"4.726295";"6.902187";"9.040660";"12.855219";"16.771893";"21.510504";"28.396290";"35.185944";"43.751038";"56.692650";"71.494095";"93.041023";"112.928101";"135.400620";"172.244522";"207.564575";"261.560883";"316.315765";"378.802063";"473.203522";"561.700134";"668.427490";"836.205811";"996.665405";"1047.213013";"1046.211670";"1042.796143";"1043.521362";"1043.995117";"1044.596313";"1042.747803";"1042.774658";"1042.955811";"1041.039062";"1040.936523";"1040.894043";"1041.158936";"1041.128784";"1041.132568";"1041.276489";"1041.412842";"1045.906982"
"Z";"0.000000";"0.182231";"0.369556";"0.565287";"0.972748";"1.356605";"1.933861";"2.786111";"3.820811";"5.233085";"7.614407";"9.908218";"14.096689";"18.372202";"23.531023";"30.912773";"38.530483";"47.737484";"61.785522";"78.133263";"101.073318";"123.371178";"147.500656";"187.973831";"226.151215";"284.251556";"343.934387";"412.108459";"516.621399";"613.916138";"730.977722";"915.802979";"1090.721802";"1147.300659";"1147.136475";"1143.800781";"1144.831299";"1145.544556";"1146.258545";"1144.511108";"1144.668579";"1145.221924";"1143.236938";"1143.078491";"1143.078247";"1143.474365";"1143.395264";"1143.395630";"1143.396606";"1143.634399";"1148.397705"
"R";"0.000000";"0.137001";"0.331185";"0.517551";"0.893180";"1.266403";"1.803042";"2.548532";"3.540983";"4.807478";"7.098539";"9.183307";"13.158628";"17.238253";"22.073059";"29.140318";"36.038525";"44.889778";"58.131763";"73.286201";"95.414940";"115.588234";"138.599792";"176.626663";"212.586838";"267.891815";"323.845245";"387.856537";"484.427063";"575.436951";"683.614136";"856.338501";"1021.191284";"1072.352905";"1070.988525";"1067.427979";"1068.004761";"1068.387573";"1068.977783";"1066.925903";"1067.054810";"1067.191650";"1065.286743";"1065.174805";"1065.105713";"1065.364014";"1065.342529";"1065.243408";"1065.407593";"1065.441772";"1069.876221"
"G";"0.000000";"0.124986";"0.318435";"0.509300";"0.872732";"1.224095";"1.771956";"2.517132";"3.475313";"4.687634";"6.817819";"8.980035";"12.729303";"16.581833";"21.283197";"28.108141";"34.837128";"43.301006";"56.129681";"70.775070";"92.139328";"111.862236";"134.153702";"170.509125";"205.604126";"259.149994";"313.434723";"375.318176";"468.735657";"556.179810";"662.274780";"827.956970";"986.695190";"1036.877563";"1035.940674";"1032.549805";"1033.312744";"1033.805542";"1034.406006";"1032.614624";"1032.591309";"1032.760132";"1030.830444";"1030.735229";"1030.699341";"1030.957886";"1030.928223";"1030.972168";"1031.121216";"1031.289917";"1035.817993"
"B";"0.000000";"0.168463";"0.339916";"0.519361";"0.893816";"1.246341";"1.775965";"2.559576";"3.509527";"4.808654";"6.996916";"9.101842";"12.950676";"16.878822";"21.617111";"28.394537";"35.396919";"43.851452";"56.753643";"71.775444";"92.833366";"113.329399";"135.483932";"172.671844";"207.729111";"261.077484";"315.897949";"378.521149";"474.562927";"563.958801";"671.493408";"841.325134";"1002.002869";"1054.006104";"1053.876099";"1050.821533";"1051.772827";"1052.432007";"1053.089111";"1051.489380";"1051.638550";"1052.155640";"1050.335571";"1050.188843";"1050.189575";"1050.556030";"1050.482300";"1050.481445";"1050.478516";"1050.698120";"1055.068237"
"ColorTemp";"5454.000000";"7969.000000";"6598.000000";"6502.000000";"6478.000000";"6379.000000";"6405.000000";"6510.000000";"6434.000000";"6473.000000";"6378.000000";"6430.000000";"6380.000000";"6347.000000";"6351.000000";"6326.000000";"6369.000000";"6339.000000";"6337.000000";"6353.000000";"6320.000000";"6361.000000";"6347.000000";"6344.000000";"6344.000000";"6331.000000";"6336.000000";"6338.000000";"6357.000000";"6358.000000";"6372.000000";"6370.000000";"6363.000000";"6373.000000";"6379.000000";"6381.000000";"6383.000000";"6385.000000";"6385.000000";"6388.000000";"6387.000000";"6389.000000";"6390.000000";"6389.000000";"6390.000000";"6390.000000";"6390.000000";"6391.000000";"6390.000000";"6391.000000";"6391.000000"
"DeltaE";"0.000000";"0.034211";"0.016436";"0.007485";"0.015449";"0.017642";"0.011907";"0.031927";"0.027314";"0.088531";"0.133632";"0.092533";"0.171756";"0.232200";"0.253143";"0.282573";"0.332310";"0.367828";"0.407229";"0.473910";"0.527247";"0.554345";"0.578575";"0.707592";"0.717773";"0.796088";"0.845194";"0.912371";"1.023608";"1.156876";"1.180244";"1.418721";"1.510645";"1.563636";"1.593058";"1.609727";"1.615260";"1.621585";"1.623851";"1.631438";"1.643490";"1.662273";"1.670773";"1.667661";"1.669263";"1.675198";"1.672820";"1.667995";"1.659404";"1.660047";"1.645216"
