"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.041197";"0.108514";"0.169454";"0.272700";"0.363669";"0.507230";"0.736153";"1.026967";"1.432754";"2.101106";"2.739668";"3.830170";"4.908623";"6.293233";"8.450640";"10.727823";"13.593427";"17.682390";"22.107718";"28.599903";"34.745487";"41.665932";"53.424984";"65.131760";"82.651733";"99.451141";"118.473778";"148.256775";"176.494064";"210.033325";"261.818451";"312.560303";"328.437408";"328.670807";"328.631653";"328.670807";"328.679596";"331.064789";"331.017761";"331.094330";"331.058990";"331.248260";"331.119751";"331.264893";"331.252075";"331.366882";"331.287415";"331.350250";"333.925110";"333.908478"
"Y";"0.000000";"0.038396";"0.107929";"0.171270";"0.281844";"0.378139";"0.526743";"0.763551";"1.059249";"1.487204";"2.171097";"2.828506";"3.974687";"5.107506";"6.522856";"8.788511";"11.082236";"14.035723";"18.246523";"22.794476";"29.588339";"35.846794";"43.166534";"55.264282";"67.388847";"85.493004";"102.962067";"122.583290";"153.453354";"182.532028";"217.101410";"270.927460";"322.963013";"339.417389";"339.652161";"339.575378";"339.652161";"339.698883";"342.234406";"342.203766";"342.305267";"342.292358";"342.467499";"342.352539";"342.468048";"342.531372";"342.616821";"342.544281";"342.616272";"345.420319";"345.419739"
"Z";"0.000000";"0.060831";"0.133018";"0.195109";"0.313197";"0.407954";"0.560368";"0.828024";"1.143838";"1.630037";"2.377078";"3.104108";"4.278881";"5.540650";"7.125056";"9.482608";"12.076332";"15.323984";"19.959473";"25.037905";"31.946012";"39.086380";"47.023823";"59.961411";"73.293968";"93.213173";"111.787704";"133.294434";"166.945160";"198.847717";"237.097229";"295.906555";"353.122986";"371.217224";"371.534271";"371.375824";"371.534271";"371.613647";"374.470520";"374.312622";"374.313416";"374.313446";"374.551147";"374.471588";"374.629944";"374.709625";"374.788910";"374.709595";"374.710114";"377.174683";"377.095886"
"R";"0.000000";"0.041651";"0.114186";"0.180536";"0.288520";"0.386421";"0.541387";"0.782317";"1.096342";"1.517519";"2.232299";"2.910431";"4.077078";"5.205755";"6.677747";"8.978007";"11.414054";"14.459844";"18.806835";"23.499090";"30.476934";"36.991386";"44.256554";"56.861408";"69.266922";"87.855797";"105.774323";"126.000862";"157.620926";"187.667664";"223.254822";"278.104675";"332.204071";"349.021942";"349.258789";"349.259003";"349.258789";"349.237122";"351.705933";"351.676117";"351.771240";"351.715179";"351.917572";"351.757996";"351.925964";"351.861267";"352.007812";"351.917328";"351.999420";"354.797699";"354.789307"
"G";"0.000000";"0.035560";"0.104220";"0.166961";"0.278733";"0.375238";"0.522149";"0.756548";"1.045640";"1.474561";"2.146268";"2.794709";"3.939005";"5.071105";"6.460892";"8.722171";"10.952694";"13.867737";"18.021507";"22.503016";"29.265930";"35.398098";"42.741806";"54.662144";"66.666916";"84.565926";"101.897507";"121.272087";"151.848038";"180.531158";"214.655319";"268.067657";"319.256134";"335.554779";"335.783661";"335.683136";"335.783661";"335.854584";"338.408112";"338.387421";"338.500488";"338.503174";"338.663849";"338.562439";"338.654907";"338.767090";"338.829926";"338.764404";"338.838867";"341.693817";"341.702759"
"B";"0.000000";"0.056398";"0.122625";"0.179491";"0.287843";"0.374607";"0.514385";"0.760474";"1.050510";"1.497451";"2.183835";"2.851974";"3.929033";"5.088417";"6.545099";"8.707486";"11.093303";"14.077397";"18.336885";"23.005219";"29.337830";"35.906059";"43.193554";"55.073071";"67.322647";"85.624817";"102.674522";"122.434036";"153.344070";"182.656357";"217.807297";"271.827454";"324.405060";"341.029358";"341.322174";"341.175476";"341.322174";"341.395111";"344.020416";"343.872131";"343.869873";"343.869843";"344.089630";"344.017334";"344.164154";"344.236267";"344.309357";"344.236328";"344.234833";"346.482391";"346.407867"
"ColorTemp";"5454.000000";"9360.000000";"6828.000000";"6373.000000";"6448.000000";"6310.000000";"6205.000000";"6318.000000";"6228.000000";"6399.000000";"6342.000000";"6348.000000";"6274.000000";"6355.000000";"6359.000000";"6313.000000";"6306.000000";"6314.000000";"6320.000000";"6340.000000";"6260.000000";"6296.000000";"6336.000000";"6292.000000";"6311.000000";"6324.000000";"6306.000000";"6309.000000";"6317.000000";"6317.000000";"6328.000000";"6341.000000";"6332.000000";"6335.000000";"6336.000000";"6334.000000";"6336.000000";"6338.000000";"6342.000000";"6340.000000";"6339.000000";"6340.000000";"6340.000000";"6341.000000";"6341.000000";"6344.000000";"6342.000000";"6343.000000";"6341.000000";"6335.000000";"6334.000000"
"DeltaE";"0.000000";"0.047945";"0.042413";"0.027429";"0.020073";"0.015834";"0.041335";"0.029220";"0.060123";"0.054716";"0.099333";"0.141145";"0.195251";"0.145543";"0.211229";"0.285916";"0.357928";"0.421207";"0.508764";"0.635161";"0.678073";"0.706878";"0.607935";"0.791216";"0.817036";"0.905141";"0.973464";"1.054882";"1.125547";"1.253207";"1.389685";"1.425386";"1.674156";"1.699608";"1.705426";"1.710365";"1.705426";"1.697428";"1.689545";"1.676566";"1.664233";"1.658830";"1.667309";"1.665285";"1.676574";"1.657424";"1.665311";"1.662669";"1.656017";"1.596296";"1.589655"
