"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.105857";"0.264931";"0.423259";"0.738350";"1.056337";"1.537259";"2.212468";"3.096429";"4.244864";"6.223918";"8.186043";"11.689914";"15.303071";"19.706802";"26.043818";"32.498516";"40.394909";"52.716846";"66.440178";"86.838165";"105.494843";"126.408493";"161.664581";"195.096252";"245.928543";"298.524200";"357.876343";"448.163208";"532.084045";"632.099792";"789.488342";"940.916687";"986.876282";"986.936523";"985.620544";"986.022522";"985.178955";"985.414429";"984.519897";"984.894409";"985.032654";"985.353333";"985.315125";"984.525269";"982.006592";"981.913391";"980.805115";"981.440735";"981.562195";"981.685791"
"Y";"0.000000";"0.104182";"0.273102";"0.441733";"0.770056";"1.094859";"1.604390";"2.306948";"3.218160";"4.421271";"6.483700";"8.489061";"12.059440";"15.786681";"20.351255";"26.930302";"33.565807";"41.832142";"54.472504";"68.747955";"89.823868";"109.205391";"130.967194";"167.276566";"202.022430";"254.897537";"309.316284";"370.793213";"464.272217";"550.887085";"654.991943";"817.164185";"973.857910";"1021.192383";"1021.466736";"1020.113525";"1020.632874";"1019.865173";"1020.111755";"1019.115845";"1019.576172";"1019.830688";"1020.091858";"1020.107910";"1018.750793";"1016.117493";"1016.015442";"1014.889954";"1015.470215";"1015.590515";"1015.722717"
"Z";"0.000000";"0.139345";"0.303960";"0.472845";"0.843997";"1.198299";"1.735150";"2.489415";"3.457475";"4.785706";"7.097468";"9.283724";"13.172043";"17.103436";"22.182161";"29.246351";"36.468369";"45.437252";"59.167068";"74.722870";"97.343735";"118.612877";"142.185577";"181.708557";"219.329544";"276.239563";"335.367157";"402.508942";"505.753967";"601.300720";"714.952332";"893.823547";"1064.142456";"1117.305908";"1118.255371";"1116.353271";"1116.988281";"1116.194824";"1116.354248";"1115.400757";"1116.035156";"1116.274048";"1116.669800";"1116.591309";"1114.686646";"1111.829346";"1111.749756";"1110.480225";"1111.114746";"1111.431030";"1111.589722"
"R";"0.000000";"0.109355";"0.280634";"0.449654";"0.779728";"1.120293";"1.628602";"2.346682";"3.294726";"4.501694";"6.579678";"8.680696";"12.440402";"16.321005";"20.970203";"27.718540";"34.608826";"42.951298";"56.128689";"70.667534";"92.455338";"112.199120";"134.386993";"171.979736";"207.478668";"261.512329";"317.462097";"380.469177";"476.049377";"565.093445";"670.958313";"838.132202";"999.190125";"1047.779175";"1047.544434";"1046.248657";"1046.593140";"1045.619141";"1045.895264";"1044.955444";"1045.273926";"1045.360229";"1045.717529";"1045.666138";"1045.275513";"1042.612427";"1042.508911";"1041.328369";"1042.052368";"1042.137939";"1042.262939"
"G";"0.000000";"0.100033";"0.269635";"0.439333";"0.765851";"1.084483";"1.595976";"2.293399";"3.192307";"4.392426";"6.443374";"8.411379";"11.908201";"15.586411";"20.109192";"26.630768";"33.167641";"41.407124";"53.841816";"68.014122";"88.840828";"108.068176";"129.674850";"165.487167";"199.958420";"252.438889";"306.273956";"367.140472";"459.683655";"545.253784";"648.651550";"808.693665";"963.718567";"1010.432007";"1010.850342";"1009.510193";"1010.091797";"1009.400696";"1009.644775";"1008.616211";"1009.120667";"1009.443726";"1009.658325";"1009.708557";"1008.011292";"1005.388672";"1005.284546";"1004.184143";"1004.708374";"1004.826843";"1004.960632"
"B";"0.000000";"0.128699";"0.279377";"0.434078";"0.775284";"1.100817";"1.593317";"2.285831";"3.174536";"4.394767";"6.519559";"8.528242";"12.100834";"15.709227";"20.376743";"26.862864";"33.497349";"41.733372";"54.346031";"68.633881";"89.405151";"108.944626";"130.592468";"166.899109";"201.448410";"253.702972";"308.011993";"369.689056";"464.558807";"552.356628";"656.748413";"821.117126";"977.557190";"1026.432861";"1027.316772";"1025.559326";"1026.142456";"1025.412842";"1025.556641";"1024.685059";"1025.269775";"1025.486328";"1025.853760";"1025.778442";"1024.027954";"1021.404053";"1021.331787";"1020.164307";"1020.748596";"1021.043579";"1021.189575"
"ColorTemp";"5454.000000";"7543.000000";"6430.000000";"6298.000000";"6452.000000";"6373.000000";"6367.000000";"6342.000000";"6278.000000";"6351.000000";"6430.000000";"6373.000000";"6307.000000";"6252.000000";"6304.000000";"6294.000000";"6284.000000";"6311.000000";"6287.000000";"6307.000000";"6283.000000";"6307.000000";"6313.000000";"6303.000000";"6307.000000";"6306.000000";"6305.000000";"6313.000000";"6335.000000";"6342.000000";"6352.000000";"6354.000000";"6346.000000";"6352.000000";"6359.000000";"6356.000000";"6358.000000";"6359.000000";"6359.000000";"6359.000000";"6360.000000";"6361.000000";"6361.000000";"6361.000000";"6353.000000";"6353.000000";"6353.000000";"6353.000000";"6352.000000";"6353.000000";"6353.000000"
"DeltaE";"0.000000";"0.023163";"0.007285";"0.008430";"0.007189";"0.014325";"0.016231";"0.028581";"0.057077";"0.047965";"0.060915";"0.105685";"0.193679";"0.257697";"0.270610";"0.313630";"0.378192";"0.371626";"0.484927";"0.500747";"0.619826";"0.619442";"0.646663";"0.770447";"0.810407";"0.890838";"0.970348";"1.016509";"1.066671";"1.187419";"1.206548";"1.445402";"1.529696";"1.608209";"1.607519";"1.594238";"1.587409";"1.579129";"1.576015";"1.585185";"1.582890";"1.572333";"1.581746";"1.574204";"1.608786";"1.610142";"1.611383";"1.607869";"1.614977";"1.620249";"1.620325"
