"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.046887";"0.114591";"0.187490";"0.307389";"0.413085";"0.591753";"0.846751";"1.173094";"1.632954";"2.386145";"3.126475";"4.331573";"5.559732";"7.177241";"9.646057";"12.288453";"15.506092";"20.077509";"24.754932";"31.919832";"38.793175";"46.835873";"60.700546";"73.798088";"92.692284";"111.461990";"132.755035";"167.052948";"198.062653";"235.396667";"293.510040";"350.414612";"367.513550";"367.354645";"367.536072";"367.533997";"367.663452";"371.448425";"371.346436";"371.558258";"371.656403";"371.673035";"371.621063";"371.319885";"371.347351";"371.389435";"371.257996";"374.557770";"374.588135";"374.657684"
"Y";"0.000000";"0.043976";"0.114818";"0.190152";"0.317777";"0.429904";"0.614654";"0.877897";"1.221057";"1.694623";"2.470707";"3.233109";"4.500424";"5.762947";"7.451004";"10.020021";"12.656466";"15.991358";"20.747700";"25.542772";"32.981861";"40.137321";"48.438118";"62.765209";"76.292435";"95.932327";"115.347214";"137.418533";"172.700806";"205.019562";"243.673141";"303.590302";"362.111877";"380.165771";"380.020721";"380.242035";"380.230225";"380.438049";"384.249023";"384.100250";"384.351654";"384.436523";"384.437073";"384.423615";"384.134064";"384.193115";"384.240936";"384.154938";"387.443756";"387.473846";"387.580719"
"Z";"0.000000";"0.067297";"0.133528";"0.213779";"0.344595";"0.455189";"0.657311";"0.944202";"1.306437";"1.868068";"2.691187";"3.504438";"4.872267";"6.279497";"8.093184";"10.858122";"13.821542";"17.341412";"22.658140";"27.974791";"35.833515";"43.769325";"52.659004";"68.214706";"83.134018";"104.404938";"125.437263";"149.721558";"188.054352";"223.529800";"265.987854";"331.776978";"395.426392";"415.268188";"415.109558";"415.347809";"415.505463";"415.664948";"419.870453";"419.711487";"420.028839";"420.029327";"420.108124";"420.029358";"419.790894";"419.791412";"420.028412";"419.870300";"423.046783";"423.125854";"423.363373"
"R";"0.000000";"0.047794";"0.122038";"0.200051";"0.327333";"0.440868";"0.630650";"0.902065";"1.248436";"1.727101";"2.535451";"3.329087";"4.600454";"5.903131";"7.619831";"10.243544";"13.090950";"16.536419";"21.344959";"26.321712";"33.983997";"41.227154";"49.828571";"64.591698";"78.483696";"98.542870";"118.528809";"141.077576";"177.692383";"210.440613";"250.022934";"311.801025";"372.542542";"390.446136";"390.265167";"390.437500";"390.398224";"390.506134";"394.582428";"394.500549";"394.694336";"394.832489";"394.840881";"394.776428";"394.422852";"394.448853";"394.444000";"394.289062";"397.978882";"398.000305";"398.021484"
"G";"0.000000";"0.040889";"0.111312";"0.185753";"0.314186";"0.426717";"0.609436";"0.869486";"1.212345";"1.680135";"2.445506";"3.197181";"4.463934";"5.708187";"7.387147";"9.937620";"12.484495";"15.785673";"20.510405";"25.227068";"32.599487";"39.709007";"47.905415";"62.066967";"75.436928";"94.923607";"114.125786";"135.991058";"170.763123";"202.891846";"241.154510";"300.304199";"357.970123";"376.067383";"375.936310";"376.176849";"376.161652";"376.413818";"380.117157";"379.942139";"380.212311";"380.284088";"380.275146";"380.286774";"380.015747";"380.092896";"380.145905";"380.092010";"383.258514";"383.288147";"383.418304"
"B";"0.000000";"0.062352";"0.122918";"0.196592";"0.316501";"0.417769";"0.603454";"0.866995";"1.199364";"1.716378";"2.471996";"3.218675";"4.474467";"5.767995";"7.433146";"9.971881";"12.697801";"15.928269";"20.814783";"25.701437";"32.913971";"40.206120";"48.368626";"62.656666";"76.365791";"95.900070";"115.216988";"137.528732";"172.741013";"205.329941";"244.338348";"304.785858";"363.255737";"381.479706";"381.333618";"381.551849";"381.700867";"381.844513";"385.710602";"385.565430";"385.857391";"385.855957";"385.930481";"385.855896";"385.638306";"385.636780";"385.858734";"385.711151";"388.621490";"388.695251";"388.915680"
"ColorTemp";"5454.000000";"8775.000000";"6427.000000";"6317.000000";"6281.000000";"6198.000000";"6241.000000";"6258.000000";"6267.000000";"6437.000000";"6329.000000";"6282.000000";"6325.000000";"6343.000000";"6339.000000";"6329.000000";"6288.000000";"6255.000000";"6325.000000";"6328.000000";"6289.000000";"6328.000000";"6303.000000";"6299.000000";"6314.000000";"6318.000000";"6312.000000";"6327.000000";"6309.000000";"6332.000000";"6341.000000";"6340.000000";"6324.000000";"6338.000000";"6338.000000";"6339.000000";"6342.000000";"6343.000000";"6340.000000";"6339.000000";"6341.000000";"6339.000000";"6339.000000";"6340.000000";"6341.000000";"6341.000000";"6344.000000";"6345.000000";"6334.000000";"6335.000000";"6338.000000"
"DeltaE";"0.000000";"0.044068";"0.022777";"0.021220";"0.013047";"0.034127";"0.035358";"0.042093";"0.065835";"0.071338";"0.086420";"0.132056";"0.144516";"0.175028";"0.198552";"0.250664";"0.421257";"0.476832";"0.468721";"0.581823";"0.610609";"0.603282";"0.690117";"0.787776";"0.847725";"0.883626";"0.969614";"1.009341";"1.199184";"1.186651";"1.273339";"1.469139";"1.646229";"1.588937";"1.584067";"1.576252";"1.585074";"1.565041";"1.597733";"1.607887";"1.602411";"1.602779";"1.609829";"1.597698";"1.595206";"1.585409";"1.592632";"1.577716";"1.597591";"1.599210";"1.594825"
