"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.096315";"0.241861";"0.392900";"0.711924";"1.035716";"1.502193";"2.175166";"3.061996";"4.206776";"6.251809";"8.215241";"11.793287";"15.426640";"19.914783";"26.344990";"32.835026";"40.965954";"53.549686";"67.681038";"88.230164";"108.043198";"129.696289";"166.047226";"200.095734";"252.287872";"305.179657";"365.994843";"458.116760";"544.275269";"646.284668";"810.538513";"965.991577";"1013.577454";"1014.776672";"1013.719299";"1014.445801";"1016.896667";"1017.328125";"1017.760498";"1016.909058";"1016.261719";"1014.384277";"1014.541077";"1014.680481";"1014.837280";"1014.116577";"1013.160461";"1013.561584";"1013.778320";"1013.592896"
"Y";"0.000000";"0.094739";"0.249913";"0.410654";"0.740596";"1.073043";"1.579893";"2.268211";"3.184732";"4.372007";"6.459637";"8.524606";"12.177184";"15.918829";"20.538755";"27.219864";"33.868282";"42.288319";"55.315369";"69.878334";"91.279099";"111.602020";"134.278549";"171.643555";"206.823654";"261.071838";"315.663666";"378.715027";"473.989960";"562.839600";"668.484497";"838.179749";"998.419556";"1047.764404";"1049.153931";"1048.256714";"1049.101074";"1051.546021";"1052.002686";"1052.552124";"1051.830566";"1051.232544";"1049.295410";"1049.428711";"1049.602173";"1049.735474";"1049.194214";"1048.178955";"1048.605469";"1048.839600";"1048.728394"
"Z";"0.000000";"0.125532";"0.275559";"0.439408";"0.801286";"1.155924";"1.704129";"2.469056";"3.438956";"4.765740";"7.036638";"9.220891";"13.207725";"17.262094";"22.341038";"29.484812";"36.706806";"45.755169";"59.882504";"75.912872";"98.536674";"121.151848";"145.677902";"185.996338";"224.486938";"282.194702";"341.796143";"409.500793";"514.887085";"612.262512";"728.682739";"912.654236";"1088.357666";"1141.614990";"1143.439087";"1142.329834";"1143.519043";"1146.611206";"1147.245361";"1147.959351";"1147.166504";"1146.374146";"1144.625854";"1144.942139";"1144.943481";"1145.259766";"1142.575073";"1141.227295";"1141.782349";"1142.020630";"1141.941284"
"R";"0.000000";"0.099834";"0.256476";"0.417065";"0.755664";"1.103392";"1.584979";"2.301585";"3.252201";"4.458893";"6.651525";"8.734095";"12.566934";"16.445923";"21.220278";"28.072124";"35.018482";"43.688747";"57.077297";"72.094040";"94.024994";"115.077927";"137.968231";"176.863403";"213.046432";"268.723938";"325.000427";"389.816376";"487.365326";"578.992371";"687.030396";"862.021240";"1027.362549";"1078.004517";"1079.106567";"1077.891724";"1078.537231";"1081.091309";"1081.508911";"1081.874756";"1080.870728";"1080.172974";"1078.082031";"1078.223755";"1078.401001";"1078.542603";"1078.178101";"1077.239502";"1077.635620";"1077.864136";"1077.605347"
"G";"0.000000";"0.090912";"0.247083";"0.408807";"0.735173";"1.062296";"1.579267";"2.255329";"3.160935";"4.337869";"6.384922";"8.448380";"12.030180";"15.720149";"20.276134";"26.901817";"33.436001";"41.768833";"54.660339";"69.032875";"90.283997";"110.283379";"132.890778";"169.692139";"204.467804";"258.273804";"312.198730";"374.643768";"468.900452";"556.620117";"661.221863";"828.928223";"987.086975";"1035.967407";"1037.443115";"1036.680054";"1037.579468";"1039.946411";"1040.406860";"1041.018066";"1040.406860";"1039.859253";"1037.952026";"1038.067871";"1038.255371";"1038.371216";"1037.934570";"1036.909424";"1037.340332";"1037.578125";"1037.520752"
"B";"0.000000";"0.115921";"0.253203";"0.403367";"0.735837";"1.061462";"1.564519";"2.267648";"3.157910";"4.377391";"6.463767";"8.468038";"12.131239";"15.855240";"20.522081";"27.080465";"33.714996";"42.023472";"54.998737";"69.728615";"90.491432";"111.279236";"133.799225";"170.829483";"206.190430";"259.161896";"313.915131";"376.081024";"472.923767";"562.388489";"669.358032";"838.331482";"999.764099";"1048.670776";"1050.351196";"1049.325806";"1050.422974";"1053.275024";"1053.860474";"1054.517456";"1053.786255";"1053.053833";"1051.456421";"1051.751465";"1051.747681";"1052.042725";"1049.523804";"1048.280518";"1048.792236";"1049.010498";"1048.937378"
"ColorTemp";"5454.000000";"7425.000000";"6390.000000";"6312.000000";"6335.000000";"6261.000000";"6433.000000";"6402.000000";"6319.000000";"6375.000000";"6306.000000";"6305.000000";"6270.000000";"6261.000000";"6276.000000";"6268.000000";"6253.000000";"6250.000000";"6261.000000";"6279.000000";"6259.000000";"6280.000000";"6301.000000";"6276.000000";"6286.000000";"6271.000000";"6277.000000";"6272.000000";"6302.000000";"6306.000000";"6322.000000";"6312.000000";"6314.000000";"6313.000000";"6316.000000";"6317.000000";"6320.000000";"6322.000000";"6323.000000";"6324.000000";"6326.000000";"6326.000000";"6328.000000";"6329.000000";"6328.000000";"6329.000000";"6318.000000";"6317.000000";"6317.000000";"6317.000000";"6318.000000"
"DeltaE";"0.000000";"0.019463";"0.004537";"0.007536";"0.008598";"0.018304";"0.014733";"0.016500";"0.041366";"0.043315";"0.094558";"0.115085";"0.191189";"0.245218";"0.288889";"0.341118";"0.415981";"0.473973";"0.524693";"0.564225";"0.687158";"0.700538";"0.683199";"0.854002";"0.897444";"1.047371";"1.099361";"1.213853";"1.186432";"1.283180";"1.337489";"1.489882";"1.634697";"1.653136";"1.639169";"1.621614";"1.612855";"1.621716";"1.621100";"1.612452";"1.597878";"1.591001";"1.590093";"1.593341";"1.590194";"1.593423";"1.580170";"1.584277";"1.582563";"1.581976";"1.574276"
