"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.028638";"0.084797";"0.144449";"0.250738";"0.359109";"0.501269";"0.709563";"0.964779";"1.315806";"1.917418";"2.470196";"3.403697";"4.317898";"5.494563";"7.216640";"8.995906";"11.248647";"14.734926";"18.328548";"23.481636";"28.469013";"33.853439";"42.763176";"51.342113";"65.494926";"79.685059";"94.815498";"117.562126";"138.666733";"165.029587";"206.096924";"244.868942";"256.637177";"256.796082";"256.870575";"257.073608";"257.197174";"257.241302";"257.112762";"257.082397";"257.161835";"257.192200";"257.170624";"257.250061";"257.280457";"257.143127";"257.143127";"257.288300";"257.323639";"257.244202"
"Y";"0.000000";"0.027502";"0.084929";"0.147024";"0.258174";"0.372915";"0.517407";"0.732394";"0.994939";"1.354459";"1.974592";"2.544449";"3.510822";"4.494397";"5.717366";"7.460960";"9.347878";"11.658131";"15.301528";"18.925550";"24.370504";"29.501848";"35.169762";"44.407402";"53.150967";"68.004875";"82.749863";"98.468803";"122.014755";"143.870148";"171.250000";"213.874512";"253.787460";"266.238983";"266.384033";"266.473755";"266.678436";"266.810577";"266.870178";"266.755219";"266.725128";"266.797668";"266.827759";"266.844360";"266.916901";"266.946991";"266.785309";"266.785309";"266.900848";"266.913757";"266.841217"
"Z";"0.000000";"0.043245";"0.106957";"0.169719";"0.282270";"0.394691";"0.554085";"0.796547";"1.106890";"1.514146";"2.198070";"2.850017";"3.913019";"4.942658";"6.312249";"8.341393";"10.293963";"12.874499";"16.864056";"20.989485";"26.863358";"32.497837";"38.846401";"48.689056";"58.606606";"74.797928";"90.987831";"108.682953";"134.554520";"158.837296";"188.757675";"236.369873";"280.255066";"294.143219";"294.301849";"294.460266";"294.698242";"294.856903";"294.936249";"294.856689";"294.777618";"294.856934";"294.936005";"294.936279";"295.015625";"295.094696";"294.935760";"294.935760";"295.094116";"295.094086";"295.014771"
"R";"0.000000";"0.028421";"0.088256";"0.152669";"0.267075";"0.383811";"0.536066";"0.755729";"1.021825";"1.393342";"2.032226";"2.613262";"3.602674";"4.561292";"5.799175";"7.621037";"9.509493";"11.901046";"15.578938";"19.413557";"24.834515";"30.143206";"35.761707";"45.276833";"54.380863";"69.290207";"84.302696";"100.201546";"124.318901";"146.621384";"174.556931";"217.829651";"259.070923";"271.324921";"271.505890";"271.561737";"271.777130";"271.902069";"271.936493";"271.776917";"271.755493";"271.845978";"271.867401";"271.824341";"271.914825";"271.936249";"271.798309";"271.798309";"271.966278";"272.022369";"271.931854"
"G";"0.000000";"0.026046";"0.082441";"0.144038";"0.254624";"0.369625";"0.510933";"0.723414";"0.982560";"1.336120";"1.948259";"2.511180";"3.467725";"4.464417";"5.678469";"7.380889";"9.275657";"11.548984";"15.177165";"18.704607";"24.163467";"29.222082";"34.894615";"44.042400";"52.613239";"67.444313";"82.074402";"97.675743";"120.980698";"142.622543";"169.777939";"212.051926";"251.414169";"263.915253";"264.046295";"264.144135";"264.343414";"264.477142";"264.545349";"264.443939";"264.414307";"264.479828";"264.509460";"264.550720";"264.616241";"264.645874";"264.473572";"264.473572";"264.566040";"264.563354";"264.497803"
"B";"0.000000";"0.040073";"0.098636";"0.156165";"0.259329";"0.362254";"0.508760";"0.731681";"1.017352";"1.391875";"2.020343";"2.619971";"3.596643";"4.540804";"5.799654";"7.667272";"9.457623";"11.829875";"15.494416";"19.289696";"24.681948";"29.859138";"35.693180";"44.728786";"53.850250";"68.719704";"83.593147";"99.859695";"123.629501";"145.945724";"173.430038";"217.190582";"257.515106";"270.275238";"270.421295";"270.568024";"270.787079";"270.933075";"271.006073";"270.933746";"270.860016";"270.933044";"271.006805";"271.005981";"271.079010";"271.152771";"271.007507";"271.007507";"271.154327";"271.154388";"271.081360"
"ColorTemp";"5454.000000";"9807.000000";"7127.000000";"6557.000000";"6293.000000";"6172.000000";"6182.000000";"6284.000000";"6432.000000";"6446.000000";"6420.000000";"6468.000000";"6447.000000";"6453.000000";"6478.000000";"6496.000000";"6444.000000";"6435.000000";"6443.000000";"6424.000000";"6437.000000";"6416.000000";"6463.000000";"6406.000000";"6411.000000";"6427.000000";"6426.000000";"6454.000000";"6441.000000";"6445.000000";"6435.000000";"6455.000000";"6435.000000";"6449.000000";"6448.000000";"6450.000000";"6450.000000";"6451.000000";"6451.000000";"6453.000000";"6452.000000";"6452.000000";"6453.000000";"6454.000000";"6454.000000";"6455.000000";"6454.000000";"6454.000000";"6454.000000";"6452.000000";"6453.000000"
"DeltaE";"0.000000";"0.043231";"0.050061";"0.035571";"0.017811";"0.044573";"0.047675";"0.045081";"0.099044";"0.159155";"0.205065";"0.311814";"0.352400";"0.197104";"0.291261";"0.631976";"0.360928";"0.504798";"0.502627";"0.832687";"0.651117";"0.730921";"0.824161";"0.664778";"1.025526";"0.921421";"0.981601";"1.255569";"1.343361";"1.525579";"1.514861";"1.857221";"1.987486";"2.009881";"2.013905";"2.029033";"2.034322";"2.037631";"2.038984";"2.049079";"2.035067";"2.037024";"2.051016";"2.037897";"2.039830";"2.053897";"2.063147";"2.063147";"2.079608";"2.080100";"2.078170"
