"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.075541";"0.220530";"0.384418";"0.700080";"1.020397";"1.491821";"2.159512";"3.042550";"4.187953";"6.190987";"8.187362";"11.749371";"15.330550";"19.856926";"26.273394";"32.774273";"40.935577";"53.426121";"67.505493";"88.029205";"107.046791";"128.576309";"164.567383";"198.380432";"249.636932";"303.051605";"363.428314";"455.100067";"540.761353";"643.390747";"807.233887";"964.233704";"1011.654846";"1012.843201";"1013.789429";"1014.510986";"1015.159241";"1015.626038";"1015.965210";"1016.405457";"1016.573120";"1016.894775";"1017.167297";"1017.322205";"1017.741028";"1017.931274";"1015.759766";"1016.182434";"1014.277527";"1014.294128"
"Y";"0.000000";"0.074748";"0.226483";"0.400068";"0.725472";"1.056112";"1.560533";"2.252850";"3.162894";"4.341893";"6.417263";"8.494602";"12.117572";"15.845745";"20.449604";"27.101181";"33.808109";"42.258232";"55.183220";"69.732719";"91.086227";"110.590988";"133.135376";"170.162445";"205.095978";"258.393280";"313.491730";"376.091827";"470.897797";"559.247864";"665.565308";"834.828064";"996.644592";"1045.902222";"1047.233398";"1048.283081";"1049.144653";"1049.835449";"1050.304932";"1050.752441";"1051.255737";"1051.447510";"1051.801514";"1052.113037";"1052.368164";"1052.714233";"1052.982178";"1051.017456";"1051.427368";"1049.431152";"1049.431641"
"Z";"0.000000";"0.095950";"0.246674";"0.423174";"0.776754";"1.125707";"1.656262";"2.429505";"3.394890";"4.737157";"6.983476";"9.153646";"13.129328";"17.103971";"22.261427";"29.404934";"36.548656";"45.676094";"59.723843";"75.675430";"98.141060";"119.883133";"144.250519";"184.014709";"222.345901";"278.943115";"338.942139";"406.249420";"511.080383";"607.742676";"724.798523";"907.899414";"1085.269775";"1138.211304";"1140.113770";"1141.619751";"1142.888184";"1143.760498";"1144.394653";"1145.029053";"1145.742554";"1145.980591";"1146.456299";"1146.931885";"1147.249512";"1147.645752";"1147.963379";"1145.427490";"1145.982300";"1144.233521";"1144.312378"
"R";"0.000000";"0.078778";"0.235511";"0.410383";"0.746927";"1.090772";"1.586188";"2.290197";"3.237751";"4.444533";"6.575658";"8.713944";"12.532611";"16.347033";"21.172840";"28.011673";"34.975662";"43.667339";"56.952377";"71.904655";"93.848862";"114.048538";"136.813934";"175.351974";"211.258896";"265.949829";"322.842987";"387.167419";"484.251129";"575.383118";"684.085022";"858.745239";"1025.758667";"1076.228760";"1077.313354";"1078.182617";"1078.793457";"1079.439453";"1079.913086";"1080.175537";"1080.571411";"1080.730835";"1081.036499";"1081.273071";"1081.367676";"1081.863159";"1082.013916";"1079.627686";"1080.066895";"1077.949951";"1077.958374"
"G";"0.000000";"0.071981";"0.222974";"0.397093";"0.718235";"1.044664";"1.554132";"2.240310";"3.137903";"4.301288";"6.356135";"8.417406";"11.961860";"15.663578";"20.169338";"26.756437";"33.376740";"41.739204";"54.526604";"68.910782";"90.099953";"109.293335";"131.766998";"168.253265";"202.784821";"255.660034";"310.061523";"372.063202";"465.853149";"553.085388";"658.371033";"825.638428";"985.341003";"1034.185425";"1035.574951";"1036.664673";"1037.596313";"1038.294678";"1038.752441";"1039.259521";"1039.790894";"1039.992920";"1040.358154";"1040.687622";"1041.001709";"1041.288086";"1041.599487";"1039.831177";"1040.220825";"1038.236450";"1038.227417"
"B";"0.000000";"0.088538";"0.226615";"0.388376";"0.713161";"1.033446";"1.520064";"2.230765";"3.116983";"4.351417";"6.414419";"8.405472";"12.059150";"15.707689";"20.449867";"27.009018";"33.567493";"41.949718";"54.852726";"69.508034";"90.123398";"110.109543";"132.483521";"168.999680";"204.216827";"256.166107";"311.281525";"373.084564";"469.416229";"558.221558";"665.772217";"833.936646";"996.899597";"1045.509644";"1047.266235";"1048.656982";"1049.827881";"1050.631714";"1051.217285";"1051.801880";"1052.460327";"1052.679321";"1053.118164";"1053.557617";"1053.848755";"1054.214722";"1054.505859";"1052.162354";"1052.674927";"1051.079102";"1051.153564"
"ColorTemp";"5454.000000";"7159.000000";"6238.000000";"6192.000000";"6224.000000";"6181.000000";"6268.000000";"6343.000000";"6274.000000";"6354.000000";"6334.000000";"6279.000000";"6250.000000";"6249.000000";"6265.000000";"6261.000000";"6237.000000";"6244.000000";"6259.000000";"6278.000000";"6249.000000";"6272.000000";"6293.000000";"6265.000000";"6280.000000";"6265.000000";"6268.000000";"6267.000000";"6297.000000";"6300.000000";"6317.000000";"6305.000000";"6307.000000";"6306.000000";"6310.000000";"6313.000000";"6316.000000";"6317.000000";"6317.000000";"6319.000000";"6321.000000";"6321.000000";"6322.000000";"6323.000000";"6324.000000";"6323.000000";"6324.000000";"6325.000000";"6325.000000";"6327.000000";"6328.000000"
"DeltaE";"0.000000";"0.012805";"0.004426";"0.012096";"0.015526";"0.027071";"0.040173";"0.027541";"0.056315";"0.051578";"0.077973";"0.135332";"0.205376";"0.256163";"0.306649";"0.355184";"0.438959";"0.485808";"0.529356";"0.558805";"0.728645";"0.711931";"0.699859";"0.887558";"0.906972";"1.076888";"1.140442";"1.246624";"1.199741";"1.291782";"1.331278";"1.498267";"1.636300";"1.653437";"1.639506";"1.630177";"1.617797";"1.615610";"1.616375";"1.607293";"1.602664";"1.601046";"1.599089";"1.596329";"1.587955";"1.595903";"1.589678";"1.564357";"1.566692";"1.567109";"1.568594"
