"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.033405";"0.090652";"0.153894";"0.240030";"0.326084";"0.426802";"0.610969";"0.845021";"1.166585";"1.755075";"2.274973";"3.181198";"4.027398";"5.118512";"6.816535";"8.583874";"10.840210";"14.239728";"17.715664";"22.892410";"27.729662";"33.175976";"42.007099";"50.631378";"64.702896";"78.777397";"93.850197";"116.846863";"137.870346";"164.607849";"205.771667";"244.782135";"256.498077";"256.674530";"256.572571";"256.679504";"256.753998";"256.652954";"256.785278";"256.677124";"256.721252";"256.765381";"256.694702";"256.725067";"256.911469";"256.722168";"256.879028";"256.980988";"256.899475";"256.896576"
"Y";"0.000000";"0.030176";"0.088759";"0.153582";"0.244884";"0.337815";"0.443065";"0.633643";"0.868780";"1.199222";"1.810476";"2.348952";"3.285819";"4.172364";"5.324262";"7.063536";"8.920981";"11.184937";"14.680071";"18.247633";"23.687765";"28.720758";"34.367786";"43.492115";"52.347881";"66.943535";"81.643860";"97.099724";"120.880989";"142.745407";"170.278030";"213.068985";"253.333160";"265.597809";"265.836273";"265.687500";"265.819092";"265.908813";"265.852905";"266.031738";"265.847565";"265.907196";"265.966827";"265.941010";"265.971069";"266.175201";"266.000061";"266.133331";"266.282074";"266.197754";"266.226746"
"Z";"0.000000";"0.050709";"0.117021";"0.178378";"0.273757";"0.370661";"0.481936";"0.697570";"0.943721";"1.306099";"2.002460";"2.590027";"3.606976";"4.587417";"5.831766";"7.726159";"9.687047";"12.246836";"16.149488";"20.117086";"25.833027";"31.388241";"37.657387";"47.656902";"57.259975";"73.212120";"89.086563";"106.384567";"132.651993";"156.383087";"186.776672";"233.917007";"277.883911";"290.665833";"290.983215";"290.824249";"290.904114";"291.062531";"290.983490";"291.221527";"291.535492";"291.614838";"291.694183";"291.694244";"291.773315";"291.932465";"291.694763";"292.011047";"292.169983";"292.248322";"292.169769"
"R";"0.000000";"0.033763";"0.094395";"0.164356";"0.255578";"0.345692";"0.452958";"0.646683";"0.902458";"1.245114";"1.861478";"2.413547";"3.378299";"4.267160";"5.415198";"7.231445";"9.107803";"11.527248";"15.130956";"18.823627";"24.326921";"29.432976";"35.185268";"44.566002";"53.787632";"68.709862";"83.619682";"99.613762";"123.976334";"146.276123";"174.680573";"218.179260";"259.684204";"272.195160";"272.332855";"272.251007";"272.367523";"272.423340";"272.289795";"272.393066";"272.193359";"272.227783";"272.262207";"272.150085";"272.171478";"272.378510";"272.176086";"272.317810";"272.399658";"272.269897";"272.274506"
"G";"0.000000";"0.027308";"0.084887";"0.148479";"0.240145";"0.334525";"0.439268";"0.627954";"0.855895";"1.181383";"1.788115";"2.321213";"3.247520";"4.131925";"5.286150";"6.995499";"8.850707";"11.046472";"14.491458";"18.003601";"23.436405";"28.434875";"34.031128";"43.050636";"51.767658";"66.231689";"80.861702";"96.069946";"119.594841";"141.296677";"168.456696";"210.927963";"250.700287";"262.916687";"263.189545";"263.014526";"263.157227";"263.255066";"263.230804";"263.435455";"263.214783";"263.282990";"263.351227";"263.356598";"263.386230";"263.594452";"263.433746";"263.549591";"263.724609";"263.643860";"263.691406"
"B";"0.000000";"0.047076";"0.108057";"0.164210";"0.251688";"0.340532";"0.442648";"0.640912";"0.866902";"1.199865";"1.840199";"2.379931";"3.313994";"4.214754";"5.357132";"7.097552";"8.896789";"11.251537";"14.839011";"18.485926";"23.730000";"28.834066";"34.595264";"43.782120";"52.603294";"67.257019";"81.833099";"97.735741";"121.872856";"143.667480";"171.597717";"214.908249";"255.298935";"267.023895";"267.315826";"267.170624";"267.242126";"267.388855";"267.315002";"267.533966";"267.835754";"267.908722";"267.981720";"267.981628";"268.055359";"268.199890";"267.980072";"268.275116";"268.420319";"268.496277";"268.420990"
"ColorTemp";"5454.000000";"10129.000000";"7301.000000";"6369.000000";"6344.000000";"6385.000000";"6348.000000";"6420.000000";"6232.000000";"6248.000000";"6393.000000";"6382.000000";"6355.000000";"6399.000000";"6418.000000";"6366.000000";"6348.000000";"6326.000000";"6349.000000";"6354.000000";"6330.000000";"6355.000000";"6375.000000";"6369.000000";"6341.000000";"6348.000000";"6351.000000";"6360.000000";"6370.000000";"6368.000000";"6366.000000";"6383.000000";"6372.000000";"6362.000000";"6365.000000";"6364.000000";"6363.000000";"6365.000000";"6366.000000";"6369.000000";"6378.000000";"6379.000000";"6380.000000";"6383.000000";"6384.000000";"6383.000000";"6383.000000";"6386.000000";"6387.000000";"6391.000000";"6390.000000"
"DeltaE";"0.000000";"0.057623";"0.070226";"0.044649";"0.032984";"0.018547";"0.019242";"0.037516";"0.065226";"0.088733";"0.150066";"0.172274";"0.203535";"0.225853";"0.186594";"0.273709";"0.262940";"0.457511";"0.603009";"0.732906";"0.558127";"0.585806";"0.664443";"0.761912";"0.860975";"0.918841";"0.879982";"1.111486";"1.271482";"1.250538";"1.447119";"1.546671";"1.653756";"1.550476";"1.538877";"1.553129";"1.539530";"1.542228";"1.524119";"1.515754";"1.610004";"1.608092";"1.606215";"1.596345";"1.604588";"1.590858";"1.576562";"1.614435";"1.601113";"1.632023";"1.602252"
