"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.008278";"0.051196";"0.095590";"0.191331";"0.312153";"0.486151";"0.810084";"1.171340";"1.578061";"2.360400";"3.082323";"4.145007";"5.358716";"6.977176";"9.475481";"11.800418";"14.969461";"19.617434";"23.868055";"31.463577";"38.215328";"46.336338";"59.334145";"71.126083";"89.773674";"107.442940";"129.219421";"161.854507";"192.815125";"223.262726";"254.877655";"254.962997";"254.970856";"255.182663";"254.774460";"254.804840";"254.898041";"254.960846";"254.903915";"254.992157";"254.973450";"255.047943";"255.119537";"254.914459";"254.904755";"255.089081";"254.806610";"254.883163";"254.962616";"254.935135"
"Y";"0.000000";"0.007411";"0.047750";"0.093487";"0.191524";"0.322427";"0.501494";"0.834135";"1.204388";"1.634914";"2.440262";"3.180526";"4.303155";"5.569145";"7.222016";"9.828250";"12.168888";"15.455230";"20.313080";"24.674639";"32.611126";"39.512596";"47.966984";"61.624523";"73.630020";"93.005119";"111.248405";"133.789810";"167.798569";"200.074890";"231.235413";"264.104340";"264.252533";"264.206390";"264.457764";"263.902985";"263.933075";"264.035126";"264.107086";"264.110809";"264.230042";"264.217682";"264.307404";"264.426086";"264.209595";"264.070038";"264.262360";"263.985138";"264.086670";"264.159180";"264.100128"
"Z";"0.000000";"0.013796";"0.071654";"0.118834";"0.218000";"0.354783";"0.541960";"0.912500";"1.314461";"1.797105";"2.694434";"3.516883";"4.743766";"6.086977";"7.930151";"10.795288";"13.459699";"16.943539";"22.261045";"27.338213";"35.594887";"43.370647";"52.577213";"66.867439";"80.592636";"102.256157";"122.018456";"147.015656";"184.001114";"219.476334";"254.546997";"290.577911";"290.658051";"290.657501";"290.974854";"290.812775";"290.891846";"290.971436";"290.971954";"290.972260";"291.130951";"291.209778";"291.368195";"291.448090";"291.367737";"291.208435";"291.525238";"291.207947";"291.208740";"291.288055";"291.287506"
"R";"0.000000";"0.008078";"0.052745";"0.100731";"0.205086";"0.331276";"0.518847";"0.862719";"1.249320";"1.672088";"2.501262";"3.268846";"4.382917";"5.675774";"7.399150";"10.034860";"12.518286";"15.906732";"20.810385";"25.269358";"33.393116";"40.558426";"49.159367";"62.993198";"75.487770";"95.118332";"113.953743";"136.984558";"171.539276";"204.218414";"236.516266";"269.967041";"270.040497";"270.070557";"270.264313";"269.802002";"269.823425";"269.926910";"270.009033";"269.909882";"269.978729";"269.931061";"269.986908";"270.047333";"269.792664";"269.865997";"270.033722";"269.727814";"269.822937";"269.913422";"269.887390"
"G";"0.000000";"0.006679";"0.044186";"0.089267";"0.185477";"0.318687";"0.495097";"0.822690";"1.186696";"1.619093";"2.413508";"3.141814";"4.267404";"5.525886";"7.147800";"9.740353";"12.015988";"15.270515";"20.108307";"24.404966";"32.300613";"39.078102";"47.475571";"61.112770";"72.874474";"92.103706";"110.125618";"132.439728";"166.240524";"198.333344";"228.958130";"261.581421";"261.765381";"261.685547";"261.955688";"261.328430";"261.358063";"261.462189";"261.536652";"261.580627";"261.717041";"261.710785";"261.808624";"261.954010";"261.739532";"261.517853";"261.710876";"261.446075";"261.559143";"261.624664";"261.547485"
"B";"0.000000";"0.012828";"0.066372";"0.109650";"0.200579";"0.325985";"0.497749";"0.838351";"1.207607";"1.651104";"2.475904";"3.231870";"4.358543";"5.591349";"7.285804";"9.917874";"12.369125";"15.566867";"20.451122";"25.123156";"32.696949";"39.847023";"48.302902";"61.411983";"74.038094";"93.949257";"112.100273";"135.072128";"169.040131";"201.629776";"233.876938";"266.976349";"267.047028";"267.048615";"267.340576";"267.204437";"267.278168";"267.350433";"267.348938";"267.348083";"267.494049";"267.568512";"267.715271";"267.786713";"267.716644";"267.572357";"267.865875";"267.573822";"267.571564";"267.644592";"267.646118"
"ColorTemp";"5454.000000";"13939.000000";"8316.000000";"6899.000000";"6253.000000";"6372.000000";"6235.000000";"6297.000000";"6265.000000";"6398.000000";"6406.000000";"6395.000000";"6441.000000";"6393.000000";"6381.000000";"6406.000000";"6390.000000";"6341.000000";"6371.000000";"6430.000000";"6354.000000";"6366.000000";"6369.000000";"6336.000000";"6360.000000";"6399.000000";"6376.000000";"6389.000000";"6389.000000";"6401.000000";"6405.000000";"6407.000000";"6407.000000";"6406.000000";"6408.000000";"6414.000000";"6415.000000";"6414.000000";"6412.000000";"6415.000000";"6417.000000";"6419.000000";"6421.000000";"6422.000000";"6426.000000";"6420.000000";"6423.000000";"6423.000000";"6421.000000";"6421.000000";"6421.000000"
"DeltaE";"0.000000";"0.018020";"0.066143";"0.060773";"0.043182";"0.022106";"0.036304";"0.058327";"0.088655";"0.095942";"0.181202";"0.254668";"0.239591";"0.191230";"0.326836";"0.360088";"0.631194";"0.541565";"0.534364";"0.897285";"0.588592";"0.818200";"0.811560";"0.730249";"0.944566";"1.142271";"1.165925";"1.334113";"1.280668";"1.326526";"1.740563";"1.764166";"1.729476";"1.755445";"1.756957";"1.898124";"1.910106";"1.900716";"1.879513";"1.862700";"1.862896";"1.884671";"1.897255";"1.873507";"1.915516";"1.944803";"1.972615";"1.965081";"1.930682";"1.933084";"1.957261"
