"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.101954";"0.253056";"0.405739";"0.731981";"1.059212";"1.524850";"2.196409";"3.098624";"4.264145";"6.317944";"8.325926";"11.846924";"15.459078";"20.026672";"26.484358";"33.059643";"41.231789";"53.744015";"67.891998";"88.477303";"107.367584";"128.858780";"164.979309";"199.367218";"251.392609";"305.125916";"364.820831";"456.087860";"542.156494";"643.773499";"806.063599";"960.641663";"1010.097046";"1011.421814";"1012.126770";"1010.857178";"1010.308044";"1010.532410";"1009.740784";"1008.996521";"1009.322144";"1009.797729";"1011.393677";"1011.937012";"1012.376343";"1012.341919";"1010.297668";"1010.734131";"1009.002563";"1007.111633"
"Y";"0.000000";"0.100468";"0.262582";"0.424088";"0.761737";"1.102884";"1.602911";"2.290108";"3.217200";"4.428315";"6.532915";"8.636718";"12.218220";"15.960717";"20.653173";"27.393347";"34.056335";"42.564968";"55.606983";"70.170502";"91.543396";"110.985764";"133.412582";"170.647491";"206.101074";"260.250366";"315.598114";"377.546570";"472.129425";"560.713867";"666.286560";"833.803528";"993.246582";"1044.654663";"1046.054688";"1046.915649";"1045.673584";"1045.160522";"1045.522583";"1044.768311";"1044.004395";"1044.248291";"1044.764526";"1046.517334";"1047.088379";"1047.498901";"1047.578735";"1045.542725";"1045.982178";"1043.986206";"1041.979248"
"Z";"0.000000";"0.132092";"0.287479";"0.455179";"0.820261";"1.175659";"1.723081";"2.466240";"3.445827";"4.785692";"7.097569";"9.338520";"13.316555";"17.183531";"22.341789";"29.486099";"36.944489";"45.993656";"59.884861";"75.994034";"98.853996";"120.122688";"144.567810";"184.491501";"223.299072";"280.848785";"341.401245";"408.152283";"511.957245";"610.197815";"726.303589";"908.366821";"1081.777954";"1138.441406";"1140.422852";"1141.612427";"1140.815674";"1140.023682";"1140.578857";"1139.864258";"1138.833740";"1139.150513";"1139.863892";"1141.374756";"1142.009644";"1142.643188";"1142.723145";"1140.816895";"1141.371948";"1140.174561";"1137.952271"
"R";"0.000000";"0.105814";"0.268166";"0.430331";"0.777767";"1.128110";"1.610883";"2.330976";"3.301786";"4.532290";"6.723551";"8.854417";"12.616838";"16.506613";"21.371462";"28.249336";"35.276955";"43.986259";"57.306564";"72.331703";"94.274834";"114.398102";"137.119843";"175.765762";"212.353821";"267.820282";"325.031525";"388.558319";"485.286591";"576.634521";"684.104248";"856.982361";"1021.685730";"1073.940063";"1075.214233";"1075.816650";"1074.281006";"1073.721436";"1073.837280";"1072.927734";"1072.182861";"1072.574829";"1073.026855";"1074.760254";"1075.328979";"1075.776611";"1075.668823";"1073.366821";"1073.819092";"1071.859985";"1069.890869"
"G";"0.000000";"0.096517";"0.260287";"0.422211";"0.756276";"1.095182";"1.601669";"2.276517";"3.189109";"4.390958";"6.460245";"8.557671";"12.062471";"15.764997";"20.386505";"27.089354";"33.593990";"42.042572";"55.002213";"69.365791";"90.551468";"109.721413";"132.031784";"168.770233";"203.766708";"257.521515";"312.122375";"373.516418";"467.199310";"554.563843";"659.305481";"824.769897";"982.187866";"1033.210938";"1034.622070";"1035.562744";"1034.388794";"1033.913086";"1034.357300";"1033.654541";"1032.899658";"1033.081909";"1033.610596";"1035.403809";"1035.974609";"1036.355225";"1036.508667";"1034.550293";"1034.978394";"1032.887451";"1030.868774"
"B";"0.000000";"0.121955";"0.264089";"0.417878";"0.753164";"1.079194";"1.581790";"2.264433";"3.163642";"4.394793";"6.519207";"8.576023";"12.232968";"15.779998";"20.519871";"27.076717";"33.934856";"42.241024";"54.991917";"69.796310";"90.783463";"110.324028";"132.775589";"169.435425";"205.089310";"257.913116";"313.544922";"374.839752";"470.207123";"560.496704";"667.166199";"834.400146";"993.691650";"1045.752319";"1047.582764";"1048.679077";"1047.959229";"1047.225342";"1047.736816";"1047.081787";"1046.130493";"1046.424194";"1047.082642";"1048.459351";"1049.042725";"1049.629883";"1049.701172";"1047.956055";"1048.467896";"1047.394531";"1045.353271"
"ColorTemp";"5454.000000";"7362.000000";"6388.000000";"6332.000000";"6307.000000";"6246.000000";"6404.000000";"6328.000000";"6247.000000";"6308.000000";"6296.000000";"6299.000000";"6289.000000";"6219.000000";"6238.000000";"6238.000000";"6245.000000";"6242.000000";"6245.000000";"6270.000000";"6262.000000";"6268.000000";"6293.000000";"6267.000000";"6275.000000";"6264.000000";"6271.000000";"6272.000000";"6296.000000";"6310.000000";"6329.000000";"6319.000000";"6312.000000";"6319.000000";"6322.000000";"6325.000000";"6329.000000";"6328.000000";"6331.000000";"6332.000000";"6331.000000";"6330.000000";"6331.000000";"6330.000000";"6330.000000";"6331.000000";"6332.000000";"6335.000000";"6335.000000";"6339.000000";"6338.000000"
"DeltaE";"0.000000";"0.019918";"0.003153";"0.006625";"0.011269";"0.025592";"0.020460";"0.031433";"0.065292";"0.059991";"0.094953";"0.121164";"0.193520";"0.292828";"0.321388";"0.400049";"0.436361";"0.493342";"0.581475";"0.573572";"0.680061";"0.724159";"0.704728";"0.884630";"0.928946";"1.090147";"1.134920";"1.216881";"1.200944";"1.270540";"1.291951";"1.460165";"1.607530";"1.610437";"1.607378";"1.595957";"1.590040";"1.584092";"1.573187";"1.567391";"1.565670";"1.574284";"1.572991";"1.563728";"1.563292";"1.567922";"1.557636";"1.550669";"1.552411";"1.577781";"1.580713"
