"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.037316";"0.100414";"0.161922";"0.251177";"0.341608";"0.445621";"0.636764";"0.873170";"1.207701";"1.811983";"2.328506";"3.246483";"4.102056";"5.209736";"6.943844";"8.702946";"10.965133";"14.451530";"17.870533";"23.151226";"28.103266";"33.527985";"42.400326";"51.265858";"65.333344";"79.487297";"94.653282";"117.638275";"139.038254";"166.050385";"207.068939";"246.461884";"258.504333";"258.460205";"258.652374";"258.710236";"258.812225";"258.631714";"258.755280";"258.829773";"258.904266";"258.841461";"258.863037";"258.699188";"258.691345";"258.740417";"258.724609";"258.820709";"258.883514";"260.043854"
"Y";"0.000000";"0.034007";"0.097659";"0.161818";"0.257013";"0.352567";"0.462706";"0.658252";"0.898560";"1.240057";"1.869080";"2.406908";"3.357483";"4.257101";"5.434128";"7.195809";"9.023906";"11.334473";"14.931458";"18.502731";"23.969791";"29.088226";"34.751877";"43.964802";"53.009174";"67.714874";"82.487724";"98.045654";"121.809189";"144.012100";"171.868073";"214.409866";"255.221863";"267.689667";"267.630066";"267.776215";"267.865387";"268.014160";"267.885712";"268.017853";"268.107574";"268.197266";"268.125305";"268.108673";"267.980804";"268.026947";"268.069397";"268.028046";"268.101135";"268.173126";"269.445679"
"Z";"0.000000";"0.056920";"0.128752";"0.190389";"0.291026";"0.390844";"0.500937";"0.718248";"0.989346";"1.352431";"2.070798";"2.660991";"3.692961";"4.671584";"5.948594";"7.902537";"9.889220";"12.514500";"16.466833";"20.434750";"26.308252";"31.942759";"38.212196";"48.212517";"58.132080";"74.243256";"90.197014";"107.574608";"133.684128";"158.048279";"188.759720";"235.897934";"280.342468";"293.677277";"293.597931";"293.914185";"293.993805";"294.152740";"293.994415";"294.153076";"294.311493";"294.469910";"294.469391";"294.469116";"294.389557";"294.390137";"294.390381";"294.547729";"294.705872";"294.706390";"295.898376"
"R";"0.000000";"0.037539";"0.105015";"0.172164";"0.266022";"0.361981";"0.473463";"0.676970";"0.928629";"1.289430";"1.921009";"2.466849";"3.443094";"4.343855";"5.503118";"7.358251";"9.224372";"11.620691";"15.324721";"18.918262";"24.550493";"29.803112";"35.512348";"44.932121";"54.420620";"69.256500";"84.256813";"100.354401";"124.743240";"147.408539";"176.088852";"219.427353";"261.273010";"274.132080";"274.097656";"274.295441";"274.342896";"274.424744";"274.200684";"274.325623";"274.381439";"274.437286";"274.355194";"274.398224";"274.182587";"274.152557";"274.221619";"274.169342";"274.268219";"274.350311";"275.587585"
"G";"0.000000";"0.030992";"0.092950";"0.156628";"0.252593";"0.348339";"0.458771";"0.650864";"0.885986";"1.220713";"1.845985";"2.380328";"3.321196";"4.220455";"5.404773";"7.127223";"8.940887";"11.209131";"14.761622";"18.317726";"23.727247";"28.788551";"34.426075";"43.561333";"52.427391";"67.074501";"81.770035";"97.082390";"120.583916";"142.591888";"170.096542";"212.261841";"252.672256";"265.008148";"264.939911";"265.053070";"265.159851";"265.334869";"265.245087";"265.378845";"265.476685";"265.574524";"265.500031";"265.458771";"265.360046";"265.439911";"265.475800";"265.421997";"265.478577";"265.553040";"266.855316"
"B";"0.000000";"0.052833";"0.118902";"0.175316";"0.267637";"0.359192";"0.460042";"0.659796";"0.909111";"1.242497";"1.903083";"2.445258";"3.393094";"4.291747";"5.464115";"7.260319";"9.084971";"11.499533";"15.130991";"18.777042";"24.170250";"29.347395";"35.107777";"44.292328";"53.407883";"68.206657";"82.855774";"98.830673";"122.819572";"145.202805";"173.423538";"216.740173";"257.564178";"269.807129";"269.734161";"270.029236";"270.101471";"270.246674";"270.099792";"270.245789";"270.392548";"270.539276";"270.540771";"270.541565";"270.469208";"270.467621";"270.466919";"270.616669";"270.764221";"270.762726";"271.851868"
"ColorTemp";"5454.000000";"10232.000000";"7204.000000";"6488.000000";"6472.000000";"6415.000000";"6318.000000";"6323.000000";"6335.000000";"6245.000000";"6405.000000";"6413.000000";"6383.000000";"6405.000000";"6444.000000";"6395.000000";"6386.000000";"6404.000000";"6391.000000";"6424.000000";"6380.000000";"6381.000000";"6406.000000";"6391.000000";"6360.000000";"6385.000000";"6380.000000";"6383.000000";"6381.000000";"6384.000000";"6382.000000";"6398.000000";"6388.000000";"6379.000000";"6378.000000";"6380.000000";"6381.000000";"6382.000000";"6384.000000";"6385.000000";"6387.000000";"6389.000000";"6390.000000";"6389.000000";"6392.000000";"6393.000000";"6392.000000";"6396.000000";"6396.000000";"6395.000000";"6393.000000"
"DeltaE";"0.000000";"0.063393";"0.076772";"0.053162";"0.042856";"0.030634";"0.022631";"0.036440";"0.070149";"0.094829";"0.161525";"0.183969";"0.205633";"0.194946";"0.149430";"0.306852";"0.318456";"0.530331";"0.600210";"0.660386";"0.601590";"0.679604";"0.725744";"0.719698";"0.900431";"0.883469";"0.829300";"1.086991";"1.219837";"1.285236";"1.459367";"1.660332";"1.673917";"1.641772";"1.643552";"1.685984";"1.674340";"1.661110";"1.640415";"1.641890";"1.649109";"1.656641";"1.673227";"1.687815";"1.687305";"1.662171";"1.655721";"1.702749";"1.726271";"1.708415";"1.650971"
