"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.000000";"0.029453";"0.106050";"0.210493";"0.343928";"0.512993";"0.837083";"1.182341";"1.646415";"2.414309";"3.231449";"4.312291";"5.538309";"7.134396";"9.635347";"12.383066";"14.488926";"18.757412";"23.662437";"30.805653";"37.340729";"45.759090";"58.482193";"70.082878";"88.974083";"106.777756";"128.601639";"161.419510";"193.416290";"232.555283";"285.773102";"337.978516";"418.929016";"502.835205";"594.289429";"735.553467";"859.678040";"1010.763000";"1012.129883";"1013.085999";"1009.821350";"1009.752686";"1009.861267";"1008.424316";"1008.788330";"1013.277344";"1011.412781";"1009.490356";"1007.421814";"1005.431641"
"Y";"0.000000";"0.000000";"0.027156";"0.104477";"0.214348";"0.358285";"0.532940";"0.870129";"1.252775";"1.721932";"2.514480";"3.330223";"4.493380";"5.755120";"7.401910";"9.997000";"12.802498";"14.956169";"19.370865";"24.458656";"31.780727";"38.581627";"47.261692";"60.462227";"72.414421";"91.949654";"110.383591";"133.048996";"167.024078";"200.307663";"240.686813";"295.615967";"349.666656";"433.741791";"520.234314";"615.421692";"761.276672";"888.894836";"1045.558838";"1047.140137";"1048.155518";"1045.053467";"1044.905884";"1044.955933";"1043.481812";"1043.843384";"1048.556152";"1046.689331";"1044.733398";"1042.355347";"1040.478149"
"Z";"0.000000";"0.000000";"0.050355";"0.139706";"0.240077";"0.390370";"0.579231";"0.954450";"1.327763";"1.872863";"2.715194";"3.626871";"4.872281";"6.279513";"8.092836";"10.857913";"13.822738";"16.309168";"21.071327";"26.547953";"34.563217";"41.944485";"51.231041";"65.359665";"78.848541";"100.197166";"120.039856";"144.564941";"181.233612";"217.188492";"261.234955";"320.523071";"379.017365";"471.867767";"567.334290";"671.539612";"830.820618";"972.308838";"1142.313599";"1144.375732";"1145.723633";"1142.864624";"1142.863281";"1143.415527";"1141.906982";"1142.145996";"1147.304810";"1145.320679";"1143.256958";"1139.453735";"1137.312378"
"R";"0.000000";"0.000000";"0.028143";"0.109489";"0.224268";"0.364049";"0.544296";"0.885634";"1.247625";"1.739281";"2.562145";"3.443726";"4.569858";"5.869135";"7.563833";"10.233399";"13.201120";"15.420073";"19.970617";"25.193432";"32.820454";"39.749542";"48.760376";"62.326138";"74.571236";"94.642815";"113.620773";"136.808472";"171.769180";"205.747208";"247.411758";"304.207336";"359.778564";"445.310272";"534.393005";"631.126160";"781.387695";"913.221924";"1073.780640";"1075.042114";"1075.980835";"1072.204346";"1072.139282";"1072.168091";"1070.607788";"1071.043579";"1075.766235";"1073.732178";"1071.650635";"1069.909180";"1067.703003"
"G";"0.000000";"0.000000";"0.025055";"0.100388";"0.209945";"0.356029";"0.528623";"0.863536";"1.257788";"1.715381";"2.497868";"3.286110";"4.465402";"5.709817";"7.336347";"9.907543";"12.657496";"14.774150";"19.139828";"24.180454";"31.380636";"38.133793";"46.699089";"59.778133";"71.577461";"90.898155";"109.139923";"131.615433";"165.234909";"198.272751";"238.146500";"292.394379";"345.884735";"429.287140";"514.667969";"609.209656";"753.316101";"879.088867";"1034.289551";"1035.967041";"1036.992188";"1034.109253";"1033.916382";"1033.933472";"1032.484863";"1032.830444";"1037.537109";"1035.731323";"1033.818604";"1031.293579";"1029.552246"
"B";"0.000000";"0.000000";"0.046801";"0.129030";"0.220741";"0.358541";"0.531994";"0.876812";"1.218264";"1.719966";"2.493240";"3.331726";"4.474442";"5.767966";"7.434162";"9.972480";"12.694349";"14.982045";"19.355324";"24.384197";"31.748844";"38.527714";"47.054554";"60.026073";"72.428436";"92.040359";"110.261330";"132.783905";"166.458084";"199.474854";"239.937851";"294.387268";"348.108429";"433.422089";"521.149353";"616.871338";"763.196045";"893.234436";"1049.373779";"1051.273193";"1052.516479";"1049.897949";"1049.901733";"1050.421753";"1049.038208";"1049.254395";"1053.992554";"1052.170166";"1050.275513";"1046.757446";"1044.785034"
"ColorTemp";"5454.000000";"5454.000000";"14826.000000";"7555.000000";"6336.000000";"6398.000000";"6351.000000";"6420.000000";"6395.000000";"6429.000000";"6334.000000";"6276.000000";"6367.000000";"6380.000000";"6377.000000";"6332.000000";"6253.000000";"6303.000000";"6291.000000";"6286.000000";"6278.000000";"6292.000000";"6269.000000";"6261.000000";"6303.000000";"6310.000000";"6300.000000";"6303.000000";"6295.000000";"6300.000000";"6300.000000";"6287.000000";"6287.000000";"6320.000000";"6328.000000";"6342.000000";"6337.000000";"6342.000000";"6339.000000";"6343.000000";"6344.000000";"6350.000000";"6351.000000";"6353.000000";"6354.000000";"6353.000000";"6353.000000";"6354.000000";"6355.000000";"6345.000000";"6347.000000"
"DeltaE";"0.000000";"0.000000";"0.016577";"0.022635";"0.007885";"0.002888";"0.005696";"0.010126";"0.033253";"0.008819";"0.030823";"0.056233";"0.041751";"0.058331";"0.086883";"0.118923";"0.213850";"0.217893";"0.260543";"0.299631";"0.378160";"0.392636";"0.472313";"0.552949";"0.539593";"0.598890";"0.652250";"0.689052";"0.778968";"0.819105";"0.896645";"1.030584";"1.105986";"1.077312";"1.196052";"1.211277";"1.365400";"1.567300";"1.606809";"1.598113";"1.600440";"1.585063";"1.595000";"1.611975";"1.612631";"1.610222";"1.607342";"1.602371";"1.600308";"1.593036";"1.574480"
