"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.049104";"0.130429";"0.192445";"0.317281";"0.447950";"0.630606";"0.907509";"1.264008";"1.762526";"2.575520";"3.373865";"4.623873";"6.034435";"7.772120";"10.552127";"13.418963";"16.791990";"21.571388";"26.486332";"34.060169";"41.421070";"49.071465";"59.846622";"69.434952";"82.230408";"94.687973";"108.314293";"127.674446";"144.924973";"166.159241";"196.120682";"222.896194";"260.723328";"263.652527";"263.888794";"263.606323";"263.760284";"263.981995";"264.056488";"264.430084";"264.532074";"264.576172";"264.313263";"263.902252";"263.967957";"263.918884";"264.010010";"263.571533";"263.036957";"262.850586"
"Y";"0.000000";"0.046443";"0.131621";"0.195823";"0.327059";"0.465126";"0.655463";"0.937698";"1.308632";"1.816977";"2.654185";"3.492237";"4.808485";"6.229120";"8.079413";"10.863684";"13.820578";"17.274221";"22.218065";"27.271505";"35.090973";"42.740116";"50.661091";"61.724758";"71.683311";"84.828102";"97.711708";"111.821213";"131.971420";"149.561111";"171.450409";"202.437103";"229.913864";"268.963379";"272.203094";"272.408875";"272.131683";"272.293915";"272.510956";"272.600647";"272.968109";"273.116882";"273.176514";"272.870880";"272.478699";"272.521698";"272.479248";"272.569519";"272.118286";"271.593933";"271.389832"
"Z";"0.000000";"0.069649";"0.150391";"0.221145";"0.354020";"0.496054";"0.699537";"0.999476";"1.395503";"1.984610";"2.862146";"3.745595";"5.189455";"6.730824";"8.658504";"11.755439";"14.945105";"18.690681";"24.166285";"29.484709";"37.897926";"46.231365";"54.645359";"66.708321";"77.502426";"92.103348";"105.519737";"120.837486";"142.506332";"161.711090";"185.835846";"219.802551";"249.090973";"290.920074";"294.965515";"295.361084";"295.043793";"295.281525";"295.440674";"295.599091";"296.153625";"296.312561";"296.391907";"296.231964";"295.835114";"295.914154";"295.913910";"296.151123";"295.753754";"295.198242";"295.039062"
"R";"0.000000";"0.050127";"0.138977";"0.204673";"0.338623";"0.477837";"0.672131";"0.971087";"1.350785";"1.876479";"2.751958";"3.600492";"4.912285";"6.437850";"8.274262";"11.271487";"14.332873";"17.945658";"23.004274";"28.296410";"36.384903";"44.188660";"52.372265";"63.877563";"74.060104";"87.650208";"101.053329";"115.544968";"136.121689";"154.612015";"177.165054";"208.969879";"237.739410";"278.186737";"281.037750";"281.269928";"280.964020";"281.110352";"281.373444";"281.429291";"281.799408";"281.881287";"281.915710";"281.613586";"281.148071";"281.225555";"281.156494";"281.220703";"280.729187";"280.138794";"279.931763"
"G";"0.000000";"0.043436";"0.128180";"0.191733";"0.322745";"0.461053";"0.650166";"0.926518";"1.294703";"1.793373";"2.618540";"3.454931";"4.772041";"6.152391";"8.015285";"10.711479";"13.630295";"17.023397";"21.915071";"26.891060";"34.614468";"42.203251";"50.039715";"60.930626";"70.806358";"83.754517";"96.487030";"110.452011";"130.459229";"147.694977";"169.302704";"199.953217";"226.980179";"265.544220";"268.892151";"269.073486";"268.808716";"268.972076";"269.177612";"269.275452";"269.629120";"269.804138";"269.872345";"269.551086";"269.184875";"269.211823";"269.175903";"269.264801";"268.821442";"268.321503";"268.113281"
"B";"0.000000";"0.064501";"0.138366";"0.203378";"0.325158";"0.455380";"0.642178";"0.917588";"1.281139";"1.823235";"2.628563";"3.439168";"4.765295";"6.181660";"7.949392";"10.797212";"13.726549";"17.167336";"22.199188";"27.080652";"34.806561";"42.460835";"50.184486";"61.266819";"71.179993";"84.600174";"96.909508";"110.978462";"130.874039";"148.520325";"170.688507";"201.894409";"228.786453";"267.194000";"270.918640";"271.286713";"270.994629";"271.214417";"271.358978";"271.505707";"272.019043";"272.164246";"272.237213";"272.094940";"271.730560";"271.804382";"271.805084";"272.026337";"271.663513";"271.153107";"271.008575"
"ColorTemp";"5454.000000";"8561.000000";"6377.000000";"6387.000000";"6238.000000";"6220.000000";"6235.000000";"6163.000000";"6187.000000";"6299.000000";"6210.000000";"6222.000000";"6314.000000";"6241.000000";"6264.000000";"6222.000000";"6222.000000";"6213.000000";"6261.000000";"6217.000000";"6217.000000";"6244.000000";"6231.000000";"6233.000000";"6247.000000";"6266.000000";"6234.000000";"6243.000000";"6252.000000";"6243.000000";"6258.000000";"6273.000000";"6251.000000";"6241.000000";"6262.000000";"6264.000000";"6265.000000";"6266.000000";"6264.000000";"6266.000000";"6269.000000";"6270.000000";"6271.000000";"6274.000000";"6276.000000";"6275.000000";"6277.000000";"6280.000000";"6282.000000";"6283.000000";"6284.000000"
"DeltaE";"0.000000";"0.062140";"0.028387";"0.032481";"0.022834";"0.042647";"0.057470";"0.095948";"0.127112";"0.115830";"0.204871";"0.268762";"0.222592";"0.350563";"0.442604";"0.526614";"0.599575";"0.696367";"0.692932";"0.855235";"0.963913";"0.953338";"1.087543";"1.166767";"1.182422";"1.199577";"1.414937";"1.442998";"1.499057";"1.624294";"1.629047";"1.656350";"1.875569";"2.059410";"1.911912";"1.901259";"1.897943";"1.889149";"1.903723";"1.891613";"1.879239";"1.865335";"1.859023";"1.850376";"1.835415";"1.840609";"1.833108";"1.821647";"1.812121";"1.800150";"1.798758"
